Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
60000,0.025783844,0.107797615,1.413497,0.00029436333,-2.5103987748966574,4981.0,-2.4186610632406715,627.7543702559037
65000,0.021583375,0.087187424,1.413497,0.00029384522,None,None,-3.519513126288075,602.7781982421875
70000,0.010398278,0.06982998,1.413497,0.00029323078,None,None,None,None
75000,0.030152243,0.06960146,1.413497,0.00029277004,None,None,None,None
80000,0.028461367,0.08539984,1.413497,0.0002923092,None,None,None,None
85000,0.038389098,0.14916337,1.4112787,0.00029169486,None,None,None,None
90000,0.019995192,1.1289079,1.4090606,0.00029123403,None,None,None,None
95000,0.0092281625,1.1303707,1.4090606,0.00029077323,None,None,None,None
100000,0.011143739,1.0752131,1.4090606,0.0002901588,None,None,None,None
105000,0.0067952606,1.0853218,1.4090606,0.00028969807,None,None,None,None
110000,0.011438786,1.1121869,1.4090606,0.00028923724,None,None,None,None
115000,0.009288077,1.1623577,1.4090606,0.0002887764,None,None,None,None
120000,0.012008624,1.2136565,1.4090607,0.00028836212,-0.22279971604772678,4981.0,-1.068610132587227,2048.233703960072
125000,0.023397733,1.1274663,1.4090607,0.00028784398,None,None,9.081115004140884,1754.826940536499
130000,0.024383096,2.3830092,1.4058752,0.00028722966,None,None,None,None
135000,0.019107718,2.9989014,1.4058752,0.00028676883,None,None,None,None
140000,0.02393122,3.0132847,1.4058752,0.000286308,None,None,None,None
145000,0.03596146,3.0040917,1.4058752,0.0002856936,None,None,None,None
150000,0.023565307,3.0103152,1.4058752,0.00028523285,None,None,None,None
155000,0.030100226,3.0722735,1.4058752,0.00028477202,None,None,None,None
160000,0.034166846,3.065968,1.4058752,0.00028415764,None,None,None,None
165000,0.025451684,2.8898182,1.4058752,0.00028369675,None,None,None,None
170000,0.03824369,3.2074413,1.4041706,0.00028323603,None,None,None,None
175000,0.05941778,4.6491323,1.4024659,0.00028277517,None,None,None,None
180000,0.039673947,4.9439254,1.402466,0.00028236097,4.152173836170732,4981.0,3.9872756313416176,1646.6445284756746
185000,0.03549146,4.784069,1.4024659,0.00028184283,None,None,5.966051877941936,1487.1741962432861
190000,0.027258974,4.744688,1.4024659,0.00028122845,None,None,None,None
195000,0.040315714,4.559808,1.4024659,0.00028076765,None,None,None,None
200000,0.025472125,4.724492,1.4024659,0.0002803068,None,None,None,None
205000,0.04615017,4.849471,1.4024659,0.00027969247,None,None,None,None
210000,0.08751501,4.8611135,1.4024659,0.0002792316,None,None,None,None
215000,0.035466954,6.322679,1.4003296,0.0002787708,None,None,None,None
220000,0.033278283,6.401085,1.4003296,0.0002781564,None,None,None,None
225000,0.0051251375,6.3472357,1.4003296,0.00027769565,None,None,None,None
230000,-0.011101547,6.4961257,1.4003296,0.00027723482,None,None,None,None
235000,0.08339289,6.224259,1.4003296,0.000276774,None,None,None,None
240000,0.035559546,6.5588555,1.4003296,0.0002763597,5.857184254708652,4981.0,5.923634093921547,1426.8469666567717
245000,0.02920197,6.255009,1.4003296,0.0002758416,None,None,5.126236668322235,1283.963966369629
250000,0.014921434,6.1882176,1.4003296,0.00027522724,None,None,None,None
255000,0.04861195,6.358571,1.3986958,0.00027476644,None,None,None,None
260000,0.061281472,7.0886536,1.3986958,0.0002743056,None,None,None,None
265000,0.041163407,7.2500024,1.3986958,0.0002736912,None,None,None,None
270000,0.055732653,7.285669,1.3986958,0.00027323046,None,None,None,None
275000,0.042357,7.425223,1.3986958,0.0002727696,None,None,None,None
280000,0.094575,7.468844,1.3986958,0.00027215527,None,None,None,None
285000,0.09242842,7.3825274,1.3986958,0.00027169444,None,None,None,None
290000,0.06449847,7.2585387,1.3986958,0.0002712336,None,None,None,None
295000,0.076472975,7.3594112,1.3986958,0.00027077278,None,None,None,None
300000,0.070787996,7.9985185,1.3978653,0.00027035855,4.440682887868509,4981.0,5.078934466402808,1508.3553549159658
305000,0.08613619,8.127337,1.3978654,0.00026984047,None,None,-2.5800818079151213,922.6146106719971
310000,0.12779185,7.8340187,1.3978654,0.00026922603,None,None,None,None
315000,0.092476495,7.7609663,1.3978654,0.00026876523,None,None,None,None
320000,0.06518686,8.028277,1.3978654,0.0002683044,None,None,None,None
325000,0.109742835,7.6780634,1.3978654,0.00026769005,None,None,None,None
330000,0.08471335,7.3016286,1.3978654,0.00026722925,None,None,None,None
335000,0.08707403,7.744901,1.3978654,0.0002667684,None,None,None,None
340000,0.088495605,8.265417,1.3968612,0.000266154,None,None,None,None
345000,0.109760985,8.499463,1.3968612,0.00026569326,None,None,None,None
350000,0.12263356,8.47885,1.3968612,0.0002652324,None,None,None,None
355000,0.13655494,8.848645,1.3968612,0.0002647717,None,None,None,None
360000,0.16242655,8.873048,1.3968612,0.00026435734,8.8898150615211,4981.0,10.00574519125406,1452.4868320118296
365000,0.19499902,9.264343,1.3968613,0.0002638392,None,None,-3.385413359152153,1089.4466094970703
370000,0.12374387,8.538261,1.3968612,0.00026322482,None,None,None,None
375000,0.11402176,8.777668,1.3968612,0.00026276402,None,None,None,None
380000,0.10355724,8.590217,1.3967115,0.00026230325,None,None,None,None
385000,0.13312276,9.640051,1.3965617,0.00026168884,None,None,None,None
390000,0.031041516,8.940124,1.3965617,0.00026122804,None,None,None,None
395000,0.08423888,9.169791,1.3965617,0.0002607672,None,None,None,None
400000,0.07985531,8.900449,1.3965617,0.00026030646,None,None,None,None
405000,0.17383741,9.748497,1.3965617,0.00025984563,None,None,None,None
410000,0.026834374,8.569342,1.3965617,0.00025923122,None,None,None,None
415000,0.048360564,8.785622,1.3965617,0.00025877036,None,None,None,None
420000,0.11902997,8.570379,1.3965619,0.00025835613,7.619323226421936,4981.0,8.117529954401437,1463.4976933219216
425000,0.12819627,9.538666,1.3964425,0.00025783805,None,None,2.13904788531363,1028.1279754638672
430000,0.105395496,9.469411,1.3964425,0.0002572236,None,None,None,None
435000,0.14571938,9.90736,1.3964425,0.0002567628,None,None,None,None
440000,0.14487223,9.951337,1.3964425,0.000256302,None,None,None,None
445000,0.04280168,9.2864685,1.3964425,0.00025568763,None,None,None,None
450000,0.07655182,9.680031,1.3964425,0.00025522683,None,None,None,None
455000,0.122404635,9.32596,1.3964425,0.00025476603,None,None,None,None
460000,0.09125199,9.540494,1.3964425,0.00025430525,None,None,None,None
465000,0.20026498,10.362189,1.3957858,0.00025384442,None,None,None,None
470000,0.10454164,10.266761,1.3951291,0.00025323,None,None,None,None
475000,0.1968644,10.813453,1.3951291,0.00025276927,None,None,None,None
480000,0.14754775,10.142437,1.3951291,0.00025235495,9.473039777341304,4981.0,9.678659161658619,1457.5593478462913
485000,0.10054816,10.570397,1.395129,0.00025183684,None,None,7.211223231628537,757.9301052093506
490000,0.15010133,10.522049,1.3951291,0.0002512224,None,None,None,None
495000,0.13363826,10.339826,1.3951291,0.00025076163,None,None,None,None
500000,0.13429864,10.870607,1.3951291,0.00025030086,None,None,None,None
505000,0.098012015,10.493989,1.3948774,0.00024968642,None,None,None,None
510000,0.17700197,11.738827,1.3946258,0.00024922562,None,None,None,None
515000,0.122348465,11.476483,1.3946258,0.00024876482,None,None,None,None
520000,0.088903256,11.39585,1.3946258,0.00024830404,None,None,None,None
525000,0.013142964,10.758769,1.3946258,0.0002478432,None,None,None,None
530000,0.16631815,11.306662,1.3946258,0.0002472288,None,None,None,None
535000,0.13616788,11.133045,1.3946258,0.00024676806,None,None,None,None
540000,0.065713525,11.327942,1.3946257,0.00024635374,7.456389308280147,4981.0,7.196106986931144,1430.427297852256
545000,0.010102667,11.162051,1.3946258,0.00024583563,None,None,10.319494780153036,1082.6757793426514
550000,0.10768775,11.775825,1.3943242,0.00024522125,None,None,None,None
555000,0.08756289,11.133099,1.3943242,0.00024476042,None,None,None,None
560000,0.13836692,11.899331,1.3943242,0.00024429965,None,None,None,None
565000,0.20455036,12.148809,1.3943242,0.00024368524,None,None,None,None
570000,0.07244371,11.471332,1.3943242,0.00024322444,None,None,None,None
575000,0.19992718,12.11541,1.3943242,0.00024276364,None,None,None,None
580000,0.15580367,11.826872,1.3943242,0.00024230288,None,None,None,None
585000,0.1147457,11.846286,1.3943242,0.00024184203,None,None,None,None
590000,0.10619633,11.717189,1.3940243,0.00024122765,None,None,None,None
595000,0.16110568,12.206523,1.3937243,0.00024076687,None,None,None,None
600000,0.1292129,12.381582,1.3937244,0.00024035254,6.495132988058079,4981.0,6.4272285540699325,1372.9762273268266
605000,0.16853032,12.670056,1.3937244,0.00023983445,None,None,7.24207850638777,1050.3953742980957
610000,0.18276958,12.778145,1.3937243,0.00023922007,None,None,None,None
615000,0.2728832,12.989606,1.3937243,0.00023875922,None,None,None,None
620000,0.18131839,12.144585,1.3937243,0.00023829842,None,None,None,None
625000,0.11267668,11.944689,1.3937243,0.00023768409,None,None,None,None
630000,0.09970596,12.470492,1.3937243,0.00023722324,None,None,None,None
635000,0.19316986,12.839857,1.3930598,0.00023676244,None,None,None,None
640000,0.07995055,12.267333,1.3930598,0.00023630167,None,None,None,None
645000,0.18304169,13.01028,1.3930598,0.00023584082,None,None,None,None
650000,0.13068599,12.3904705,1.3930598,0.00023522644,None,None,None,None
655000,0.11434688,12.719808,1.3930598,0.00023476568,None,None,None,None
660000,0.05217991,12.558148,1.3930597,0.00023435136,6.748704912344995,4981.0,6.442177223507315,1357.7392613671043
665000,0.16527572,12.566735,1.3930597,0.00023383324,None,None,10.120509076863527,1074.9881572723389
670000,0.23902673,13.154621,1.3930598,0.00023321886,None,None,None,None
675000,0.09375855,12.636324,1.3923293,0.00023275802,None,None,None,None
680000,0.13922215,13.451994,1.3923293,0.00023229726,None,None,None,None
685000,0.19997671,13.145909,1.3923293,0.00023168282,None,None,None,None
690000,0.16103876,12.945725,1.3923293,0.00023122203,None,None,None,None
695000,0.21299484,13.352921,1.3923293,0.00023076126,None,None,None,None
700000,0.18845946,13.05037,1.3923293,0.00023030046,None,None,None,None
705000,0.08791466,12.893413,1.3923293,0.00022983967,None,None,None,None
710000,0.2140124,13.530889,1.3923293,0.00022922523,None,None,None,None
715000,0.12832135,13.168294,1.3923293,0.00022876447,None,None,None,None
720000,0.15316343,13.537871,1.391881,0.00022835015,7.641330576212567,4981.0,7.42746279980056,1304.0705136299134
725000,0.19513765,13.887213,1.3918811,0.00022783209,None,None,8.710670070315246,1022.663655757904
730000,0.13802652,13.643568,1.3918811,0.00022721765,None,None,None,None
735000,0.25116366,13.891813,1.3918811,0.00022675683,None,None,None,None
740000,0.17349184,13.669274,1.3918811,0.00022629605,None,None,None,None
745000,0.18506715,13.606401,1.3918811,0.00022568167,None,None,None,None
750000,0.27075619,13.836365,1.3918811,0.00022522082,None,None,None,None
755000,0.16013946,13.186841,1.3918811,0.00022476005,None,None,None,None
760000,0.20473348,13.497475,1.391512,0.00022429925,None,None,None,None
765000,0.061810113,13.621495,1.391512,0.0002238384,None,None,None,None
