Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4270000,-0.015675362,0.8832446,8.6626715e-05,-29.462684936754936,4961.0,-29.462684969816888
4275000,-0.030551806,0.88883245,8.6379034e-05,None,None,None
4280000,-0.30901235,0.9210373,8.613263e-05,None,None,None
4285000,-0.34676844,0.9348138,8.5886226e-05,None,None,None
4290000,-0.25104398,0.9191971,8.561744e-05,None,None,None
4295000,-0.098480195,0.9253753,8.537104e-05,None,None,None
4300000,-0.09413388,0.976373,8.512463e-05,None,None,None
4305000,0.12515415,0.86287105,8.487636e-05,-16.84761505529085,4961.0,-16.847614658996463
4310000,0.16809468,0.832307,8.462868e-05,None,None,None
4315000,0.32793444,0.85997057,8.4382285e-05,None,None,None
4320000,0.26172754,0.9449021,8.413588e-05,None,None,None
4325000,-0.417613,0.9299792,8.386708e-05,None,None,None
4330000,-0.14814197,0.9494245,8.362068e-05,None,None,None
4335000,0.39047137,0.9970049,8.337429e-05,None,None,None
4340000,0.40167657,0.9029075,8.312602e-05,6.92245804668138,4961.0,6.922458052103009
4345000,0.23274554,0.88451755,8.287834e-05,None,None,None
4350000,0.055959947,0.920796,8.263193e-05,None,None,None
4355000,-0.01747621,0.9255668,8.2385544e-05,None,None,None
4360000,0.028636312,0.87266,8.211673e-05,None,None,None
4365000,0.0018625152,0.89636296,8.1870334e-05,None,None,None
4370000,-0.21958579,0.9567731,8.162393e-05,None,None,None
4375000,0.13970469,0.89229524,8.137568e-05,2.4547164210317924,4961.0,2.4547164597149407
4380000,0.30848986,0.92804736,8.112798e-05,None,None,None
4385000,0.48131418,0.91623807,8.088158e-05,None,None,None
4390000,0.03925639,0.84069514,8.063519e-05,None,None,None
4395000,-0.13438725,0.80375797,8.0366386e-05,None,None,None
4400000,0.067782685,0.8296358,8.011998e-05,None,None,None
4405000,0.58202684,0.83682907,7.987358e-05,None,None,None
4410000,0.6161633,0.91259575,7.962532e-05,17.586643578285084,4961.0,17.586643703814065
4415000,0.39326593,0.95384705,7.9377634e-05,None,None,None
4420000,0.5618189,0.9162298,7.9131234e-05,None,None,None
4425000,0.25266537,0.8854346,7.8884834e-05,None,None,None
4430000,0.40604383,0.9549236,7.861603e-05,None,None,None
4435000,0.16279428,0.8674626,7.8369645e-05,None,None,None
4440000,0.020616112,0.8667609,7.812324e-05,None,None,None
4445000,0.45878276,0.8892895,7.787497e-05,21.040303551675088,4961.0,21.040303322353534
4450000,0.49203277,0.91524684,7.762728e-05,None,None,None
4455000,0.3179292,0.9281123,7.7380886e-05,None,None,None
4460000,0.054331914,0.9190469,7.7134486e-05,None,None,None
4465000,0.22131787,0.9011258,7.686568e-05,None,None,None
