Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5000,2.4848764,0.00029965627,-0.050111096,-11.330302621705236,202.82608695652175,-11.330302596092224
10000,2.4848797,0.00029886127,-0.06616042,-11.886072366924292,218.47619047619048,-11.886072629974002
15000,2.4840243,0.0002981164,-0.63172174,-11.06964704952214,206.65384615384616,-11.084063134193421
20000,2.483998,0.00029738728,-0.64206195,-11.06706298749135,212.45454545454547,-11.051505850709002
25000,2.4788194,0.00029662502,-1.1949471,-10.729745840897408,217.47826086956522,-10.729745952979378
30000,2.4781313,0.00029585455,-1.2682724,-9.451086463748089,191.44,-9.451086444854736
35000,2.4549806,0.00029511694,-1.6685151,-7.939788777829078,181.9,-7.939788730939229
40000,2.4521446,0.0002943777,-1.780898,-7.673375292301498,188.08,-7.673375391960144
45000,2.415377,0.00029364522,-1.9009888,-6.962349173408189,178.4814814814815,-6.918255411661589
50000,2.404314,0.00029290095,-1.9331737,-6.564057297187201,179.76923076923077,-6.602498916479258
55000,2.3615153,0.00029212664,-1.925439,-6.976996155021959,199.91304347826087,-6.982509021957715
60000,2.342728,0.00029135842,-1.8948551,-5.196834823146689,174.93103448275863,-5.128436131136758
65000,2.292396,0.00029062637,-1.9639113,-3.920255912823887,155.3846153846154,-4.038468600423248
70000,2.2677622,0.00028988946,-1.9703641,-4.245084142065104,182.1304347826087,-4.245084125062694
75000,2.2204816,0.00028913823,-1.8551255,-3.645174492466237,161.21428571428572,-3.645174488425255
80000,2.179069,0.00028837303,-1.8561133,-3.157609746971408,163.20689655172413,-3.1576097484292656
85000,2.1187904,0.00028761206,-1.8156149,-3.210243486051877,165.36,-3.184782144924005
90000,2.0613904,0.00028687302,-1.7255037,-2.4318687288245657,149.16666666666666,-2.476689642475497
95000,2.006094,0.00028613285,-1.6609446,-2.103537386448205,136.41935483870967,-2.103537404729474
100000,1.9066204,0.00028538407,-1.5458394,-5.547745727767364,273.6666666666667,-5.5477456409070225
105000,1.8695865,0.00028462886,-1.4258254,-1.6326360646679603,134.43589743589743,-1.625449091588196
110000,1.8059433,0.00028387914,-1.3188293,-1.5000749331601775,128.68421052631578,-1.5104766321869998
115000,1.7682961,0.0002831107,-1.2480804,-1.425086780819295,122.65853658536585,-1.4250867770212452
120000,1.7232213,0.0002823709,-1.0991579,-1.064958766121577,131.43243243243242,-1.0417305532739394
125000,1.7103034,0.0002816338,-1.0507743,-1.0770500239017609,118.66666666666667,-1.096215724381943
130000,1.6837815,0.00028086972,-0.9475026,-1.255312108340085,127.33333333333333,-1.2593011887449967
135000,1.6732512,0.00028013592,-0.91984874,-1.1742549153778732,131.64864864864865,-1.1741694387023311
140000,1.6319357,0.00027938368,-0.81852573,-1.1107968022159072,125.45,-1.108314311178401
145000,1.6261733,0.0002786154,-0.8001357,-1.1094269665838838,137.61111111111111,-1.112042166997452
150000,1.6274201,0.0002778713,-0.73358524,-1.0693312148743201,129.8684210526316,-1.0693312197997187
155000,1.6340948,0.00027712254,-0.7221257,-1.0852341756160013,119.34146341463415,-1.0871959486452396
160000,1.6378284,0.00027636997,-0.641294,-0.9697177563138432,145.9090909090909,-0.9708073493709568
