Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
50000,-0.08025842,3.5828373,0.0002971549,-8.590539018815615,4961.0,-8.970484129327815
55000,-0.071433134,3.5828505,0.00029688422,None,None,-7.070758712477982
60000,-0.0781685,3.582835,0.00029657703,None,None,None
65000,-0.07388528,3.5826507,0.0002962698,None,None,None
70000,-0.07879409,3.5820632,0.0002959626,None,None,None
75000,-0.08431494,3.582109,0.00029565542,None,None,None
80000,-0.07824644,3.5821,0.00029534823,None,None,None
85000,-0.09993676,3.5820916,0.000295041,None,None,None
90000,-0.075867385,3.5786579,0.0002947338,None,None,None
95000,-0.11600668,3.5787978,0.00029442663,None,None,None
100000,-0.114272945,3.5788174,0.00029415428,-7.794049970281776,4961.0,-8.168496681942738
105000,-0.0983903,3.5787158,0.00029388364,None,None,-6.92034092087609
110000,-0.10935879,3.5691543,0.00029357642,None,None,None
115000,-0.10484227,3.5662417,0.0002932692,None,None,None
120000,-0.124891564,3.566307,0.000292962,None,None,None
125000,-0.11146111,3.5662582,0.00029265482,None,None,None
130000,-0.1080542,3.5718613,0.0002923476,None,None,None
135000,-0.1262413,3.5786202,0.0002920404,None,None,None
140000,-0.10850724,3.578694,0.00029173325,None,None,None
145000,-0.11268139,3.5786164,0.000291426,None,None,None
150000,-0.13327825,3.5784376,0.00029115373,-8.120268084056443,4961.0,-7.8670630664176615
155000,-0.09384712,3.572585,0.000290883,None,None,-8.50007560098311
160000,-0.13535309,3.5725238,0.0002905758,None,None,None
165000,-0.12314955,3.5727773,0.00029026862,None,None,None
170000,-0.12083484,3.5724418,0.00028996143,None,None,None
175000,-0.11742,3.5751877,0.00028965418,None,None,None
180000,-0.17008151,3.575122,0.00028934702,None,None,None
185000,-0.083142735,3.5750299,0.00028903983,None,None,None
190000,-0.111069664,3.575007,0.0002887326,None,None,None
195000,-0.12195204,3.571509,0.00028842542,None,None,None
200000,-0.15123901,3.5711658,0.00028815307,-6.901023836905369,4961.0,-6.692923460854217
205000,-0.13723804,3.571474,0.0002878824,None,None,-7.109124328102917
210000,-0.17278285,3.5717385,0.00028757518,None,None,None
215000,-0.13491954,3.569355,0.00028726802,None,None,None
220000,-0.13465899,3.565939,0.0002869608,None,None,None
225000,-0.14231108,3.5670228,0.00028665364,None,None,None
230000,-0.15100996,3.5669694,0.00028634645,None,None,None
235000,-0.14336857,3.5653794,0.0002860392,None,None,None
240000,-0.14330004,3.5596588,0.000285732,None,None,None
245000,-0.1360506,3.560492,0.00028542482,None,None,None
250000,-0.13843682,3.5588572,0.00028515252,-7.157182699005352,4961.0,-7.280076934956014
255000,-0.14005552,3.5584087,0.0002848818,None,None,-7.0752532058395445
260000,-0.155542,3.5439994,0.00028457463,None,None,None
265000,-0.14653224,3.5501952,0.00028426741,None,None,None
270000,-0.16935769,3.549581,0.00028396022,None,None,None
275000,-0.16352071,3.549258,0.00028365303,None,None,None
280000,-0.15546484,3.546577,0.0002833458,None,None,None
285000,-0.14202806,3.5545464,0.0002830386,None,None,None
290000,-0.14767905,3.555146,0.00028273143,None,None,None
295000,-0.13731317,3.5530732,0.00028242424,None,None,None
300000,-0.13703257,3.5517762,0.0002821519,-7.268506340472959,4961.0,-7.13139493460767
305000,-0.12641911,3.5466309,0.00028188125,None,None,-7.3272683450819125
310000,-0.19032793,3.541125,0.000281574,None,None,None
315000,-0.14647436,3.5394676,0.0002812668,None,None,None
320000,-0.17901233,3.5401816,0.00028095962,None,None,None
325000,-0.150296,3.5409138,0.00028065243,None,None,None
330000,-0.117436774,3.5410423,0.0002803452,None,None,None
335000,-0.13234626,3.5413215,0.00028003802,None,None,None
340000,-0.13619186,3.5377789,0.00027973086,None,None,None
345000,-0.17681594,3.5481822,0.0002794236,None,None,None
350000,-0.1651478,3.5455582,0.0002791513,-7.125755166512681,4961.0,-4.845723244361579
355000,-0.1122294,3.5473151,0.00027888062,None,None,-7.6957631122204475
360000,-0.14090368,3.5444045,0.00027857343,None,None,None
365000,-0.14877304,3.550895,0.0002782662,None,None,None
370000,-0.15531395,3.5545974,0.000277959,None,None,None
375000,-0.16137677,3.553042,0.00027765182,None,None,None
380000,-0.09619075,3.554625,0.0002773446,None,None,None
385000,-0.13307041,3.548285,0.00027703744,None,None,None
390000,-0.108242735,3.5528169,0.0002767302,None,None,None
395000,-0.14729455,3.5510375,0.00027642303,None,None,None
400000,-0.15307713,3.5531578,0.0002761507,-6.34324962933897,4961.0,-5.924740480724722
