Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
4815000,0.17110205,1.1019969,1.1253797e-05,8.39696246993602,4961.0,8.396962470957078,0.0018442633,0.0153013235
4820000,0.18242079,1.072662,1.092874e-05,None,None,None,None,None
4825000,0.17114025,1.102033,1.0652259e-05,None,None,None,None,None
4830000,0.17062165,1.0942813,1.0375775e-05,None,None,None,None,None
4835000,0.18388464,1.0928813,1.0053213e-05,None,None,None,None,None
4840000,0.1586505,1.0299332,9.730651e-06,None,None,None,0.0026118278,0.015005673
4845000,0.15381077,1.0697254,9.454169e-06,None,None,None,None,None
4850000,0.17325132,1.09756,9.1776865e-06,None,None,None,None,None
4855000,0.16164811,1.0772234,8.855138e-06,None,None,None,None,None
4860000,0.14893165,1.0642552,8.53258e-06,None,None,None,0.0013198487,0.019209322
4865000,0.14444846,1.0437443,8.256098e-06,None,None,None,None,None
4870000,0.12555149,1.0684187,7.979616e-06,None,None,None,None,None
4875000,0.15835212,1.0605477,7.653081e-06,8.331977261511687,4961.0,8.331977246765746,None,None
4880000,0.19070688,0.9931909,7.328019e-06,None,None,None,0.0022100736,0.017255273
4885000,0.16584904,1.0488707,7.051536e-06,None,None,None,None,None
4890000,0.15601885,1.1087265,6.775054e-06,None,None,None,None,None
4895000,0.16420625,1.0642008,6.4524916e-06,None,None,None,None,None
4900000,0.17399228,1.0479044,6.12993e-06,None,None,None,None,None
4905000,0.14959899,1.0474257,5.8534474e-06,None,None,None,0.0021796708,0.014789117
4910000,0.15957037,1.001926,5.5769838e-06,None,None,None,None,None
4915000,0.17450598,1.0536492,5.254421e-06,None,None,None,None,None
4920000,0.16870739,1.0432198,4.9318587e-06,None,None,None,None,None
4925000,0.17695907,1.0498753,4.6553764e-06,None,None,None,0.0016848295,0.018233014
4930000,0.15458545,1.0370963,4.3788946e-06,None,None,None,None,None
4935000,0.16155359,1.0750916,4.0523587e-06,8.342391381112975,4961.0,8.342391363228671,None,None
4940000,0.18060367,1.0077593,3.7272969e-06,None,None,None,None,None
4945000,0.17428449,1.0492036,3.450815e-06,None,None,None,0.0017335173,0.016329346
4950000,0.15599641,1.0389038,3.174333e-06,None,None,None,None,None
4955000,0.17430815,1.0892787,2.8517702e-06,None,None,None,None,None
4960000,0.16305985,1.0610057,2.5292081e-06,None,None,None,None,None
4965000,0.17039464,1.0658784,2.2527438e-06,None,None,None,None,None
4970000,0.16251065,1.0374796,1.9762617e-06,None,None,None,0.0016789968,0.020711778
4975000,0.14973965,1.014604,1.6536995e-06,None,None,None,None,None
4980000,0.18915859,1.01738,1.331137e-06,None,None,None,None,None
4985000,0.17773557,1.0219656,1.054655e-06,None,None,None,None,None
