Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
60000,0.62475693,2.501894,0.632278,0.00029658587,-48.67472700188713,4961.0,-44.34079712890089,1300.5879598736763
65000,0.6129836,2.720735,0.567949,0.00029626107,None,None,-70.34437735378742,1269.234686538577
70000,0.39544696,4.329184,0.61686397,0.00029593846,None,None,None,None
75000,0.4998152,4.429005,0.614907,0.000295662,None,None,None,None
80000,0.48741075,4.426591,0.5918197,0.00029533947,None,None,None,None
85000,0.44179815,4.2802854,0.6421945,0.00029501691,None,None,None,None
90000,0.21820132,4.622246,0.7853776,0.0002947404,None,None,None,None
95000,0.26468992,5.0978403,0.71817404,0.00029446394,None,None,None,None
100000,0.14866415,4.868592,0.8067372,0.00029414138,None,None,None,None
105000,0.14280447,4.8954062,0.7877419,0.0002938188,None,None,None,None
110000,-0.010641623,5.009254,0.7656243,0.00029354234,None,None,None,None
115000,0.1225991,5.5785394,0.71064746,0.00029326582,None,None,None,None
120000,0.05588582,5.386519,0.7950141,0.00029298518,-58.6983036196325,4961.0,-59.924629556222094,1594.5875862174564
125000,-0.017283425,5.6232142,0.7646719,0.00029266032,None,None,-55.0193247726808,1759.133921901385
130000,-0.15350243,5.0508084,0.8604875,0.00029233776,None,None,None,None
135000,-0.10182577,5.8213816,0.76552117,0.00029206133,None,None,None,None
140000,-0.2561767,5.7576017,0.8449109,0.00029173872,None,None,None,None
145000,-0.47378966,5.5039206,0.8832367,0.0002914162,None,None,None,None
150000,-0.44567332,5.629395,0.8337023,0.0002911397,None,None,None,None
155000,-0.73146963,5.8840017,0.8546666,0.00029086322,None,None,None,None
160000,-0.49692747,6.2818117,0.7373077,0.00029054063,None,None,None,None
165000,-0.29758772,6.6364026,0.72601604,0.00029021807,None,None,None,None
170000,-0.37648916,6.4469943,0.7540033,0.00028994164,None,None,None,None
175000,-0.6847759,6.8823733,0.67226344,0.00028966513,None,None,None,None
180000,-0.68675756,7.695225,0.5739719,0.00028938445,-50.729782152668726,4961.0,-49.26495892660959,1538.7121109962463
185000,-0.7941255,7.5543957,0.6497506,0.00028905965,None,None,-52.78053442016244,1609.358875632286
190000,-1.0445306,7.150205,0.7006838,0.00028873704,None,None,None,None
195000,-0.81255555,7.8949594,0.58034843,0.0002884606,None,None,None,None
200000,-0.6974915,10.014513,0.46724287,0.00028818412,None,None,None,None
205000,-1.1477101,9.493851,0.545029,0.00028786153,None,None,None,None
