Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,-0.13139062,1.4185631,0.00029955542,0.0013807708,0.068671465,-4.233333396414916,993.0,-4.233333441946241
15000,-0.22418536,1.4177063,0.0002992521,0.0010808046,0.07394524,None,None,None
20000,-0.27930915,1.4167259,0.0002989461,0.0008853562,0.07116927,-4.288888952798313,992.0,-4.288888994190428
25000,-0.330662,1.4150743,0.000298643,0.00083614915,0.07313834,None,None,None
30000,-0.36722296,1.4157463,0.00029833714,0.0007535082,0.07014853,-4.333333397905032,992.0,-4.333333412806193
35000,-0.3939107,1.4157674,0.00029806845,0.0008257149,0.07089318,None,None,None
40000,-0.40837944,1.4169968,0.0002977629,0.0007228413,0.061748818,-4.422222288118468,992.0,-4.4222223526901665
45000,-0.4169475,1.4170585,0.00029746443,0.00072652637,0.065919384,-4.266666730244954,992.0,-4.225000103935599
50000,-0.41996315,1.4156181,0.00029716123,0.00071892043,0.06915596,None,None,-4.600000083446503
55000,-0.4178737,1.4149011,0.00029685488,0.0007605287,0.062226363,-4.37777784301175,993.0,-4.3777778976493416
60000,-0.4266787,1.4148427,0.00029655156,0.00071013527,0.06748076,None,None,None
65000,-0.43288496,1.4124335,0.00029624556,0.0006839213,0.072463095,-4.37777784301175,992.0,-4.377777914206187
70000,-0.41937125,1.411634,0.00029594247,0.0007802075,0.069639005,None,None,None
75000,-0.40742573,1.4097973,0.00029563656,0.0007689906,0.06310185,-4.200000062584877,992.0,-4.200000099009937
80000,-0.4004529,1.408832,0.00029536788,0.00069319183,0.061251394,None,None,None
85000,-0.3992566,1.4097284,0.00029506237,0.0007592228,0.06459047,-4.12222228364812,992.0,-4.122222319245338
90000,-0.40492734,1.4079922,0.00029476386,0.00073059904,0.072569236,-4.233333396414916,992.0,-4.20000009983778
95000,-0.41966394,1.4073734,0.0002944607,0.0006630242,0.065385014,None,None,-4.5000001192092896
100000,-0.43497813,1.4067583,0.00029415434,0.0006945047,0.06372359,-4.344444509181711,993.0,-4.3444445331891375
105000,-0.4498404,1.4064121,0.00029385104,0.00068273145,0.06417042,None,None,None
110000,-0.4528598,1.4074284,0.00029354505,0.00065859454,0.06433531,-4.088888949818081,992.0,-4.088888982931773
115000,-0.4501891,1.4077423,0.0002932419,0.0006985383,0.069893196,None,None,None
120000,-0.43383953,1.4079512,0.00029293608,0.0006661747,0.070240006,-4.177777840031518,992.0,-4.177777856588364
125000,-0.444364,1.4081548,0.00029266736,0.0007102485,0.07300879,None,None,None
130000,-0.44606522,1.4086491,0.00029236186,0.00072283635,0.07331559,-4.333333397905032,992.0,-4.33333342605167
135000,-0.4224089,1.4086592,0.0002920633,0.0007339015,0.06546067,-4.244444507691595,992.0,-4.32500010356307
140000,-0.42879426,1.4079884,0.00029176017,0.00067239796,0.07440572,None,None,-3.6000000834465027
145000,-0.416978,1.4077312,0.0002914538,0.00073502527,0.07040642,-4.144444506201479,993.0,-4.14444453186459
150000,-0.40877154,1.4085094,0.0002911505,0.0007550109,0.06785505,None,None,None
155000,-0.41428348,1.4076098,0.0002908445,0.00063990755,0.07260417,-4.266666730244954,992.0,-4.266666769981384
