Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5000,1.4189461,0.00029987338,-0.11069308,0.0058992156,0.05298507,-0.6888888991541333,331.0,-0.6888889016376601
10000,1.4186797,0.00029956645,-0.11852477,0.0022495962,0.06430736,-0.6388888984090753,330.5,-0.6388889042039713
15000,1.4191455,0.00029927574,-0.116563395,0.0013682939,0.06434102,-0.6055555645790365,330.0,-0.6117647193810519
20000,1.418557,0.00029897323,-0.1400343,0.0011611151,0.07824301,-0.5111111187272601,331.0,-0.5100000157952309
25000,1.4159077,0.00029866627,-0.15177317,0.0009564407,0.06336967,-0.5444444525572989,330.5,-0.5444444562825892
30000,1.4145491,0.00029837555,-0.17548773,0.00088819227,0.07668041,-0.566666675110658,330.0,-0.5647058960269479
35000,1.415367,0.00029807305,-0.18059309,0.0010520784,0.061935496,-0.6333333427707354,331.0,-0.6300000146031379
40000,1.4154038,0.0002977661,-0.18080367,0.001182572,0.076968595,-0.7166666773458322,330.5,-0.7166666810711225
45000,1.4152007,0.00029747537,-0.1886307,0.00092022924,0.068768606,-0.6222222314940559,330.0,-0.6294117819736985
50000,1.4147972,0.00029717287,-0.18806715,0.0009095142,0.07301247,-0.6111111202173762,331.0,-0.600000013411045
55000,1.4140797,0.00029686594,-0.17917822,0.0008937157,0.066922955,-0.6388888984090753,330.5,-0.6388889025482867
60000,1.4140066,0.0002965752,-0.16386323,0.00097109156,0.0688985,-0.488888896173901,330.0,-0.5058823644238359
65000,1.4125421,0.0002962727,-0.14728412,0.00092030416,0.074529104,-0.5555555638339784,331.0,-0.5200000144541264
70000,1.4103639,0.00029596573,-0.14552373,0.0009191034,0.06643377,-0.4000000059604645,330.5,-0.4000000080300702
75000,1.4088236,0.00029567498,-0.1363235,0.0010364673,0.074063614,-0.5222222300039397,330.0,-0.5235294230720576
80000,1.4076024,0.00029537248,-0.14125374,0.0012960347,0.06646586,-0.5888888976640172,331.0,-0.5800000131130219
