Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
5000,1.4189519,0.00029977324,-0.1126742,-1.1833333509663742,248.5,-1.1833333774573274,0.005052211,0.07102332
10000,1.4186181,0.00029926494,-0.22210543,-1.2166666847964127,248.0,-1.2166666860381763,0.0032123239,0.06814667
15000,1.4194493,0.00029876002,-0.284008,-1.0481481637667727,248.0,-0.9950000174343586,0.002384231,0.07936033
20000,1.4204694,0.00029825565,-0.3245749,-1.0388889043695397,248.0,-1.0863636572929947,0.0025947397,0.065402135
25000,1.421035,0.00029774805,-0.34642187,-0.9666666810711225,248.0,-0.9809524019559225,0.002241018,0.06996781
30000,1.4210017,0.00029723998,-0.36366373,-0.9944444592628214,248.0,-0.9944444745779037,0.0020896231,0.070234925
35000,1.4198267,0.00029673503,-0.35769725,-0.9444444585177634,248.0,-0.9833333550228013,0.0019588599,0.07256697
40000,1.4193592,0.0002962306,-0.3659251,-1.055555571284559,248.0,-0.9863636652854356,0.002217371,0.06780587
45000,1.4184216,0.00029578063,-0.4006651,-1.1111111276679568,248.0,-1.0818182040344586,0.002842655,0.07355103
50000,1.4182382,0.00029527233,-0.4228137,-0.9888889036244817,248.5,-1.0052631862069432,0.0026789869,0.06856907
55000,1.4182451,0.0002947641,-0.41509667,-0.8777777908576859,248.0,-0.8777777949968973,0.0023812295,0.06986299
60000,1.4165037,0.0002942591,-0.3967627,-0.9333333472410837,248.0,-0.9700000267475843,0.0022058995,0.06852257
65000,1.416256,0.0002937547,-0.37558323,-0.8888889021343656,248.0,-0.8636363805695013,0.0024038292,0.06551206
70000,1.4148175,0.00029324717,-0.35284695,-0.927777791602744,248.0,-0.9285714434725898,0.002223099,0.0711251
75000,1.4149519,0.00029273907,-0.35157812,-0.8277777901126279,248.0,-0.8277778066694736,0.0020007533,0.06358486
80000,1.4164708,0.00029223412,-0.3446977,-0.7851851968853562,248.0,-0.761111129903131,0.0021224236,0.07437541
85000,1.4169133,0.0002917297,-0.33710724,-0.8222222344742881,248.0,-0.8090909323231741,0.0022287385,0.06656654
90000,1.4154468,0.00029127975,-0.34733763,-0.8722222352193462,248.0,-0.8727272843772714,0.0022168877,0.06664875
95000,1.4133718,0.00029077142,-0.33469158,-0.7777777893675698,248.5,-0.7894737006802308,0.002091286,0.06791671
100000,1.4128546,0.00029026315,-0.33468097,-0.77222223372923,248.0,-0.7722222349709935,0.0021198303,0.06450439
105000,1.4124035,0.00028975823,-0.32354936,-0.7925926044031426,248.0,-0.8550000127404929,0.002127723,0.07024723
110000,1.4113125,0.0002892538,-0.31065837,-0.7833333450059096,248.0,-0.7363636558028784,0.0021689201,0.077710554
115000,1.4093424,0.00028874626,-0.28487125,-0.800000011920929,248.0,-0.7904762093509946,0.0023720826,0.07220435
120000,1.4068104,0.0002882382,-0.27399558,-0.6777777878774537,248.0,-0.6777777949141132,0.0018088014,0.077926196
125000,1.402847,0.00028773324,-0.2662906,-0.6592592690829877,248.0,-0.6444444561170207,0.0017429277,0.069594346
130000,1.4009962,0.00028722885,-0.265208,-0.6500000096857548,248.0,-0.6681818318637934,0.0019156303,0.066503234
135000,1.40131,0.00028677884,-0.27162495,-0.6277777871323956,248.0,-0.6272727393291213,0.0014764052,0.06934518
140000,1.3996692,0.00028627057,-0.2651127,-0.5166666743656,248.5,-0.5263158012377588,0.001427,0.075690456
145000,1.3969315,0.00028576227,-0.26429185,-0.6055555645790365,248.0,-0.6055555678904057,0.0017171574,0.07083835
150000,1.3960898,0.00028525732,-0.25360745,-0.6074074164584831,248.0,-0.6000000115483999,0.0014897787,0.070852734
