Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
3065000,-0.0032324048,1.4037997,0.00011627994,-0.15000000223517418,4961.0,-0.15000000223517418,1.4892863e-05,0.06484328
3070000,-0.0017221743,1.4039125,0.00011595511,None,None,None,2.6557627e-06,0.077828094
3075000,-0.004140141,1.4032934,0.000115632545,None,None,None,7.2035027e-06,0.062226195
3080000,-0.004283487,1.4031368,0.00011535606,None,None,None,5.510563e-06,0.064610556
3085000,-0.0018887669,1.4031043,0.000115079594,None,None,None,7.894265e-06,0.060798816
3090000,-0.0030413563,1.4034332,0.00011475704,None,None,None,9.658714e-06,0.0692046
3095000,-0.0034224475,1.4036282,0.000114434464,None,None,None,1.5123056e-06,0.06063607
3100000,-0.004674238,1.4039598,0.00011415799,None,None,None,3.245891e-05,0.0652015
3105000,-0.0052356534,1.4045048,0.00011388151,None,None,None,3.307269e-05,0.06621037
3110000,-0.014410366,1.4049813,0.000113558955,None,None,None,2.8344657e-05,0.06518075
3115000,-0.010214914,1.4053026,0.0001132364,None,None,None,4.2216616e-06,0.072971955
3120000,-0.0093246065,1.4057344,0.00011295991,None,None,None,1.5624624e-05,0.063968025
3125000,-0.0059428103,1.4057698,0.00011267922,-0.12500000186264515,4961.0,-0.12500000186264515,9.605204e-06,0.068566784
3130000,-0.009099341,1.4055115,0.00011235439,None,None,None,2.855955e-05,0.06653728
3135000,-0.0037946473,1.4061604,0.00011203182,None,None,None,2.8334085e-05,0.06257674
3140000,-0.0058761155,1.4054977,0.00011175536,None,None,None,2.5708323e-06,0.070143834
3145000,-0.0041948166,1.4057988,0.000111478876,None,None,None,2.781303e-05,0.06666935
3150000,-0.005088167,1.4056791,0.00011115631,None,None,None,7.3541673e-06,0.0687359
3155000,-0.002694219,1.40671,0.00011083375,None,None,None,1.2313105e-05,0.06735408
3160000,-0.0041168802,1.406632,0.000110557274,None,None,None,1.3373079e-05,0.06525014
3165000,-0.006860777,1.4060402,0.000110280795,None,None,None,2.3161067e-05,0.073942184
3170000,-0.0062766895,1.4057999,0.000109958244,None,None,None,3.5088328e-06,0.074118674
3175000,-0.0057936227,1.406031,0.00010963567,None,None,None,4.605155e-06,0.07244159
3180000,-0.006584315,1.4055613,0.00010935919,None,None,None,1.2386514e-05,0.06896295
3185000,-0.006298118,1.405402,0.0001090785,-0.1083333349476258,4961.0,-0.1083333349476258,5.725431e-06,0.06556647
3190000,-0.0091365175,1.4050907,0.000108753666,None,None,None,1.4295356e-05,0.072459415
3195000,-0.008497377,1.4049805,0.000108431115,None,None,None,2.9942088e-05,0.07223947
3200000,-0.00696474,1.4048256,0.000108154636,None,None,None,1.6557991e-05,0.06186627
3205000,-0.011297663,1.4050851,0.00010787815,None,None,None,1.9735668e-05,0.06787259
3210000,-0.010224535,1.405282,0.00010755559,None,None,None,3.1803967e-05,0.07058616
3215000,-0.012687184,1.4054446,0.000107233034,None,None,None,1.9987267e-05,0.06852382
3220000,-0.011353223,1.4048418,0.000106956555,None,None,None,1.6133492e-05,0.07186921
3225000,-0.013199594,1.4048746,0.00010668007,None,None,None,2.2671218e-05,0.06475219
3230000,-0.010633815,1.4047141,0.00010635752,None,None,None,1.7299897e-05,0.073888615
3235000,-0.010660416,1.4050634,0.00010603495,None,None,None,2.7304584e-05,0.068951026
3240000,-0.0126036005,1.4050012,0.00010575847,None,None,None,3.8372073e-06,0.07689277
3245000,-0.0155299995,1.4048234,0.000105477775,-0.1750000026077032,4961.0,-0.1750000026077032,7.627793e-06,0.071910545
3250000,-0.012991758,1.4050617,0.000105152954,None,None,None,1.6363136e-05,0.071107075
3255000,-0.0069981124,1.4053502,0.00010483039,None,None,None,5.752915e-05,0.06254036
3260000,-0.010132676,1.4054189,0.00010455391,None,None,None,1.9344934e-05,0.0699117
3265000,-0.009754146,1.4051735,0.00010427743,None,None,None,2.4498244e-05,0.06572192
3270000,-0.008082162,1.4052229,0.00010395487,None,None,None,3.410803e-05,0.07128902
3275000,-0.007793821,1.405699,0.000103632316,None,None,None,3.317061e-05,0.056233656
3280000,-0.006391169,1.4059598,0.00010335583,None,None,None,2.9404578e-06,0.072756246
3285000,-0.0057424977,1.4059898,0.00010307934,None,None,None,2.183493e-05,0.06421511
3290000,-0.00728575,1.4058118,0.0001027568,None,None,None,1.9441077e-05,0.06354539
3295000,-0.00719157,1.4061263,0.00010243423,None,None,None,1.624632e-05,0.06726429
3300000,-0.008456644,1.4065164,0.000102157755,None,None,None,3.740613e-05,0.07034087
3305000,-0.0064826375,1.4059621,0.00010187705,-0.1750000026077032,4961.0,-0.1750000026077032,1.6204298e-05,0.05904615
3310000,-0.00745611,1.4059858,0.00010155223,None,None,None,1.420701e-05,0.063530326
3315000,-0.0053084907,1.4056497,0.00010122967,None,None,None,2.2971428e-06,0.062714055
3320000,-0.0069353892,1.4054108,0.00010095319,None,None,None,2.75187e-05,0.06602476
3325000,-0.005956763,1.4051323,0.00010067673,None,None,None,2.4982233e-05,0.069842756
3330000,-0.008335654,1.4047922,0.00010035416,None,None,None,1.5948119e-05,0.07352425
3335000,-0.0073798345,1.4050756,0.00010003159,None,None,None,2.963718e-05,0.06776016
3340000,-0.0052406434,1.405044,9.97551e-05,None,None,None,1.3063482e-05,0.07889572
3345000,-0.0026359267,1.4057463,9.947864e-05,None,None,None,1.4848944e-06,0.07736107
3350000,-0.0037496097,1.405366,9.9156074e-05,None,None,None,2.372137e-05,0.072041295
3355000,-0.003263337,1.4057977,9.8833516e-05,None,None,None,1.5946971e-05,0.06104002
3360000,-0.0068949484,1.4055653,9.8557044e-05,None,None,None,4.2835413e-06,0.070168294
3365000,-0.0042328225,1.4053073,9.827632e-05,-0.10000000149011612,4961.0,-0.10000000149011612,1.5154386e-06,0.06469022
3370000,-0.0023563292,1.4053205,9.79515e-05,None,None,None,8.466178e-06,0.062397115
3375000,-0.0043267617,1.4056678,9.762897e-05,None,None,None,5.1033814e-05,0.06863476
3380000,-0.0054470613,1.4057412,9.735249e-05,None,None,None,1.1268921e-05,0.06002613
3385000,-0.00794875,1.4057717,9.7076e-05,None,None,None,2.3419225e-06,0.065143116
3390000,-0.008806442,1.4057811,9.6753436e-05,None,None,None,1.13673295e-05,0.070025906
3395000,-0.0050035613,1.4055413,9.6430864e-05,None,None,None,1.6917056e-06,0.06792524
3400000,-0.0042958707,1.4059577,9.615439e-05,None,None,None,1.9212219e-05,0.06948699
3405000,-0.0076736114,1.4061421,9.587791e-05,None,None,None,1.867671e-05,0.06855081
3410000,-0.0070943353,1.4059108,9.5555355e-05,None,None,None,1.2740855e-05,0.06314513
3415000,-0.009114267,1.4062735,9.5232805e-05,None,None,None,2.7106043e-06,0.066301584
3420000,-0.0067334613,1.4067273,9.495632e-05,None,None,None,1.8012573e-05,0.06198706
3425000,-0.003460718,1.4068717,9.467561e-05,-0.1083333349476258,4961.0,-0.1083333349476258,4.0719656e-06,0.062022023
3430000,-0.005987938,1.4068238,9.435081e-05,None,None,None,6.293495e-06,0.0716148
3435000,-0.0038917603,1.4068273,9.402825e-05,None,None,None,3.0864427e-05,0.0700674
3440000,-0.008189003,1.4068385,9.375176e-05,None,None,None,1.0233052e-05,0.070633724
3445000,-0.010804077,1.4063231,9.3475275e-05,None,None,None,2.0404013e-05,0.062227763
3450000,-0.0114014,1.4063805,9.315271e-05,None,None,None,4.2059328e-05,0.06826031
3455000,-0.0100169685,1.406546,9.283015e-05,None,None,None,1.373154e-05,0.068528585
3460000,-0.0102619175,1.4067397,9.2553666e-05,None,None,None,3.2298267e-05,0.06617156
3465000,-0.009366313,1.4066671,9.227719e-05,None,None,None,3.1240768e-06,0.06634886
3470000,-0.0054103145,1.4067024,9.1954644e-05,None,None,None,1.475612e-05,0.066922516
3475000,-0.0034899195,1.4068549,9.163208e-05,None,None,None,4.231185e-06,0.07848328
3480000,-0.009135491,1.4067707,9.135561e-05,None,None,None,2.4033976e-05,0.066744685
3485000,-0.0107424585,1.4068564,9.10749e-05,-0.1750000026077032,4961.0,-0.1750000026077032,2.1201306e-05,0.065363444
3490000,-0.0065026428,1.406808,9.075009e-05,None,None,None,2.8478085e-05,0.07279629
3495000,-0.005521903,1.4069495,9.042752e-05,None,None,None,3.7837626e-06,0.077470705
3500000,-0.004835379,1.407468,9.015104e-05,None,None,None,4.2851752e-05,0.06312946
3505000,-0.009275431,1.4076414,8.987456e-05,None,None,None,4.04497e-05,0.07022805
3510000,-0.008181004,1.4078132,8.955199e-05,None,None,None,1.236851e-05,0.066879764
3515000,-0.0054056374,1.4077684,8.9229434e-05,None,None,None,1.572912e-06,0.064165354
3520000,-0.007587329,1.4076972,8.8952955e-05,None,None,None,1.2724063e-06,0.07029909
3525000,-0.006255701,1.4077182,8.867648e-05,None,None,None,8.531485e-06,0.06092453
3530000,-0.0112266475,1.4081587,8.835392e-05,None,None,None,6.608064e-06,0.07395219
3535000,-0.010922491,1.4082203,8.803137e-05,None,None,None,2.3892793e-05,0.082629435
3540000,-0.007941304,1.4075849,8.775488e-05,None,None,None,6.7119295e-06,0.06467377
3545000,-0.00991131,1.4071451,8.747419e-05,-0.1083333349476258,4961.0,-0.1083333349476258,2.0981492e-05,0.06806588
3550000,-0.007353691,1.4067184,8.714937e-05,None,None,None,1.6855869e-05,0.063809186
3555000,-0.0092819,1.406526,8.6826796e-05,None,None,None,1.3478835e-05,0.075243756
3560000,-0.01233672,1.4064939,8.655031e-05,None,None,None,2.9471744e-06,0.071080856
3565000,-0.0076188277,1.4062413,8.627383e-05,None,None,None,2.0221876e-05,0.07305716
3570000,-0.0055276453,1.4066304,8.595127e-05,None,None,None,2.9344948e-05,0.06899213
3575000,-0.00586155,1.4066658,8.562871e-05,None,None,None,2.104292e-05,0.07241793
3580000,-0.0073826825,1.4063067,8.535224e-05,None,None,None,1.6028658e-05,0.07164914
3585000,-0.010590159,1.4065372,8.5075764e-05,None,None,None,3.4591567e-06,0.06523948
3590000,-0.015173435,1.4071196,8.475321e-05,None,None,None,3.9964223e-05,0.07044043
3595000,-0.008425821,1.407364,8.443064e-05,None,None,None,2.701034e-05,0.06499475
3600000,-0.00869433,1.4072323,8.4154155e-05,None,None,None,1.40843e-05,0.0665761
3605000,-0.010060655,1.4066914,8.387346e-05,-0.18333333606521288,4961.0,-0.18333333606521288,3.0182347e-05,0.06269762
3610000,-0.0058069015,1.406752,8.354864e-05,None,None,None,6.3863176e-06,0.0701976
3615000,-0.007809534,1.4072367,8.322607e-05,None,None,None,9.116207e-05,0.068814725
3620000,-0.018047884,1.4075878,8.294959e-05,None,None,None,2.2804983e-05,0.07315679
3625000,-0.026394049,1.4077728,8.267312e-05,None,None,None,3.0806827e-05,0.07106596
3630000,-0.01537534,1.4076705,8.2350554e-05,None,None,None,1.9484767e-05,0.0729328
3635000,-0.013731775,1.4070992,8.2028004e-05,None,None,None,1.4163608e-05,0.06441851
3640000,-0.014900496,1.4071666,8.1751525e-05,None,None,None,3.6727954e-05,0.06935572
3645000,-0.010030104,1.4069573,8.147504e-05,None,None,None,1.8395423e-05,0.061293676
3650000,-0.010899091,1.4070526,8.115248e-05,None,None,None,3.4070228e-05,0.06921584
3655000,-0.018434841,1.4072349,8.0829916e-05,None,None,None,1.853066e-05,0.06027391
3660000,-0.01408091,1.4071864,8.055344e-05,None,None,None,3.0711264e-05,0.06550125
3665000,-0.0109266825,1.4067364,8.027274e-05,-0.24166667026778063,4961.0,-0.24166667026778063,1.5149868e-05,0.06393449
3670000,-0.0034451722,1.406535,7.994792e-05,None,None,None,2.5542467e-06,0.06748278
3675000,-0.010503835,1.4063475,7.962535e-05,None,None,None,2.8655963e-06,0.06899965
3680000,-0.0070116855,1.4063272,7.934887e-05,None,None,None,5.204497e-05,0.070431985
3685000,-0.007405537,1.4065883,7.907239e-05,None,None,None,2.9508927e-05,0.07031058
3690000,-0.009031932,1.406961,7.874985e-05,None,None,None,2.1794764e-05,0.06981385
3695000,-0.005816007,1.4069015,7.842728e-05,None,None,None,2.7614012e-06,0.08151933
3700000,-0.008345671,1.4073056,7.815079e-05,None,None,None,2.6117834e-05,0.06836246
3705000,-0.011061407,1.4073822,7.787432e-05,None,None,None,2.6877663e-06,0.061648507
3710000,-0.009856114,1.4071445,7.7551755e-05,None,None,None,2.1764154e-05,0.06717512
3715000,-0.008647286,1.4069,7.72292e-05,None,None,None,3.672761e-05,0.06629804
3720000,-0.008008057,1.4073404,7.695271e-05,None,None,None,7.808341e-06,0.071327105
3725000,-0.010258771,1.4074978,7.667202e-05,-0.2083333364377419,4961.0,-0.2083333364377419,1.5359643e-05,0.07052928
3730000,-0.009690355,1.40736,7.634719e-05,None,None,None,2.507188e-05,0.07124804
3735000,-0.008701896,1.4079773,7.602463e-05,None,None,None,2.6503396e-05,0.07224977
