Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
4065000,0.5669662,19.783007,0.3887751,0.00014766613,32.54160597982506,4961.0,32.541605963216476,0.0
4070000,0.49876124,19.477343,0.3379754,0.00014746311,None,None,None,None
4075000,0.68108994,19.29811,0.34062633,0.00014726153,None,None,None,None
4080000,0.7931251,19.572273,0.28674638,0.00014708871,None,None,None,None
4085000,0.7405851,21.187323,0.299336,0.00014691592,None,None,None,None
4090000,0.7042929,18.827602,0.32568148,0.0001467143,None,None,None,None
4095000,0.5898481,14.76312,0.38504845,0.00014651271,None,None,None,None
4100000,0.61362153,15.899614,0.35975635,0.00014633992,None,None,None,None
4105000,0.60274637,17.326567,0.35545418,0.00014616712,None,None,None,None
4110000,0.6433541,15.702203,0.44658077,0.00014596552,None,None,None,None
4115000,0.5938418,15.709868,0.4352337,0.00014576393,None,None,None,None
4120000,0.6410359,16.676804,0.38466185,0.00014559111,None,None,None,None
4125000,0.44643375,15.982742,0.458932,0.00014541567,31.915941416984424,4961.0,31.915941622263443,0.0
4130000,0.58144474,14.94628,0.3504486,0.00014521269,None,None,None,None
4135000,0.60409623,14.23561,0.37504128,0.00014501107,None,None,None,None
4140000,0.47755432,15.390093,0.4551908,0.00014483825,None,None,None,None
4145000,0.45832244,13.861064,0.37903008,0.00014466548,None,None,None,None
4150000,0.5457078,13.522781,0.40796676,0.00014446386,None,None,None,None
4155000,0.62233764,14.841731,0.37665987,0.00014426229,None,None,None,None
4160000,0.5684659,14.898496,0.45033482,0.00014408946,None,None,None,None
4165000,0.650601,14.617388,0.4449689,0.00014391668,None,None,None,None
4170000,0.50052434,13.276494,0.4359893,0.00014371506,None,None,None,None
4175000,0.5032868,13.376384,0.48536533,0.00014351345,None,None,None,None
4180000,0.47652474,14.031675,0.46982363,0.00014334067,None,None,None,None
4185000,0.42968863,14.954274,0.48699775,0.00014316522,25.715389755321667,4961.0,25.715389656368643,0.0
4190000,0.4126017,14.825335,0.43413973,0.00014296222,None,None,None,None
4195000,0.53856677,14.712952,0.38380176,0.00014276062,None,None,None,None
4200000,0.46352455,13.992347,0.45676482,0.00014258781,None,None,None,None
4205000,0.43361908,14.832537,0.4574815,0.00014241501,None,None,None,None
4210000,0.51050395,14.6984625,0.4470679,0.00014221341,None,None,None,None
4215000,0.49809813,16.363058,0.39412096,0.0001420118,None,None,None,None
4220000,0.4978888,14.387811,0.48715618,0.00014183902,None,None,None,None
4225000,0.5310151,14.538484,0.45497164,0.00014166623,None,None,None,None
4230000,0.634108,15.826345,0.3700954,0.00014146461,None,None,None,None
4235000,0.47784713,13.6457205,0.47059017,0.00014126302,None,None,None,None
4240000,0.5451916,14.096763,0.39590618,0.00014109023,None,None,None,None
4245000,0.5789697,13.997972,0.43591514,0.00014091478,25.651952207243692,4961.0,25.651952074297395,0.0
4250000,0.5052506,14.393927,0.45425093,0.00014071177,None,None,None,None
4255000,0.4079555,12.5450735,0.45652315,0.00014051016,None,None,None,None
4260000,0.56368685,13.420779,0.39961708,0.00014033738,None,None,None,None
4265000,0.6165024,12.6868305,0.4715079,0.00014016457,None,None,None,None
4270000,0.4910666,12.237909,0.48152614,0.00013996297,None,None,None,None
4275000,0.5365147,13.205361,0.5057672,0.00013976137,None,None,None,None
4280000,0.597179,13.776699,0.45290723,0.00013958859,None,None,None,None
4285000,0.65789133,11.86275,0.4413991,0.00013941577,None,None,None,None
4290000,0.5021753,12.113012,0.42071095,0.00013921416,None,None,None,None
4295000,0.5734203,13.323484,0.44258037,0.00013901258,None,None,None,None
4300000,0.60617894,14.676482,0.42232928,0.00013883976,None,None,None,None
4305000,0.5988621,13.464441,0.39320105,0.00013866433,28.518514633993618,4961.0,28.51851447423299,0.0
4310000,0.7925733,11.885239,0.3818171,0.00013849011,None,None,None,None
4315000,0.52390707,10.012697,0.46751356,0.00013828852,None,None,None,None
4320000,0.57991004,10.041529,0.4695495,0.00013808692,None,None,None,None
4325000,0.5949117,10.416824,0.41329542,0.0001379141,None,None,None,None
4330000,0.66900754,10.812241,0.41521534,0.00013771252,None,None,None,None
4335000,0.6372847,13.83723,0.37674135,0.00013751093,None,None,None,None
4340000,0.67429096,12.604089,0.39924285,0.00013733811,None,None,None,None
4345000,0.5517095,11.20767,0.42136186,0.00013716532,None,None,None,None
4350000,0.657847,12.726037,0.36988378,0.00013696372,None,None,None,None
4355000,0.66833484,11.791655,0.45746168,0.00013676212,None,None,None,None
4360000,0.7558229,12.827329,0.37425885,0.00013658931,None,None,None,None
4365000,0.6110707,12.511326,0.48059574,0.00013641387,31.06754558296719,4961.0,31.067545561896015,0.0
4370000,0.6999265,12.552863,0.4226003,0.00013623967,None,None,None,None
4375000,0.73842275,11.886965,0.41186,0.00013603808,None,None,None,None
4380000,0.5718444,9.584858,0.41480795,0.00013583647,None,None,None,None
4385000,0.62718356,10.5184,0.4057434,0.00013566366,None,None,None,None
4390000,0.6886187,11.507171,0.41721407,0.00013546206,None,None,None,None
4395000,0.6305162,12.428324,0.39504588,0.00013526047,None,None,None,None
4400000,0.54118556,10.095313,0.43924847,0.00013508767,None,None,None,None
4405000,0.57171637,9.078537,0.43452924,0.00013491488,None,None,None,None
4410000,0.57257396,9.290975,0.39767873,0.00013471328,None,None,None,None
4415000,0.7544805,10.352855,0.3668546,0.00013451168,None,None,None,None
4420000,0.5863,11.12172,0.39589193,0.00013433886,None,None,None,None
4425000,0.6079372,11.504851,0.4336719,0.00013416343,29.021360628850136,4961.0,29.021360581119854,0.0
4430000,0.6159385,10.732214,0.39110082,0.00013398923,None,None,None,None
4435000,0.57374376,10.751148,0.44481024,0.00013378762,None,None,None,None
4440000,0.64200604,10.621575,0.4044224,0.00013358601,None,None,None,None
4445000,0.8007945,10.813391,0.38573754,0.00013341322,None,None,None,None
4450000,0.5852059,9.804846,0.44934216,0.00013321161,None,None,None,None
4455000,0.57853806,9.576583,0.44040215,0.00013301002,None,None,None,None
4460000,0.54121417,9.41191,0.48497194,0.00013283722,None,None,None,None
4465000,0.7187981,9.991484,0.4233878,0.00013266441,None,None,None,None
4470000,0.67348176,9.279735,0.38173866,0.00013246282,None,None,None,None
4475000,0.58551043,9.623655,0.4151497,0.00013226121,None,None,None,None
4480000,0.4893644,8.3247595,0.43092716,0.00013208842,None,None,None,None
4485000,0.48907867,9.5718355,0.4509959,0.00013191298,28.55775503111848,4961.0,28.55775489192456,0.0
4490000,0.51332945,9.936694,0.39510843,0.00013173877,None,None,None,None
4495000,0.54337865,10.172766,0.3858069,0.00013153718,None,None,None,None
4500000,0.59729004,9.942282,0.47246727,0.00013133558,None,None,None,None
4505000,0.64167315,10.237695,0.32873848,0.00013116277,None,None,None,None
4510000,0.63622457,9.50955,0.36737967,0.00013098995,None,None,None,None
4515000,0.5652786,9.682136,0.43490216,0.00013078838,None,None,None,None
4520000,0.65935993,9.673059,0.45026118,0.00013058678,None,None,None,None
4525000,0.6299966,8.953954,0.41401696,0.00013041399,None,None,None,None
4530000,0.5538355,8.242159,0.4799218,0.00013021237,None,None,None,None
4535000,0.6406712,8.716462,0.37396288,0.00013001077,None,None,None,None
