Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
10040000,0.21947445,0.77310044,9.930059e-05,-62.042080797138624,4980.166666666667,-62.042084788282715,0.12102397,0.016880548
10050000,0.19355239,0.7425452,9.909332e-05,None,None,None,0.25785694,0.016727034
10060000,-0.11910028,0.7547482,9.8893644e-05,None,None,None,None,None
10070000,0.117264986,0.7725872,9.870052e-05,-30.132235287242413,4981.0,-30.132235477368038,0.15066336,0.016083848
10080000,0.078312084,0.82414615,9.8493205e-05,None,None,None,0.048824064,0.017840894
10090000,-0.25341028,0.7662213,9.829352e-05,None,None,None,0.06148166,0.015613392
10100000,-0.07238199,0.7873084,9.810041e-05,-23.609742428408936,4981.0,-23.60974235460162,0.030008899,0.017943379
10110000,-0.19266479,0.7551094,9.7893084e-05,None,None,None,0.02725821,0.014112208
10120000,-0.45503393,0.8371679,9.769341e-05,None,None,None,0.01093574,0.014991716
10130000,-0.36734796,0.75977176,9.7500284e-05,-24.42120694058637,4981.0,-24.42120687663555,0.019538771,0.014854536
10140000,-0.16850553,0.7797408,9.7292956e-05,None,None,None,0.029862229,0.019235754
10150000,-0.5099557,0.82249093,9.709329e-05,None,None,None,0.0147136655,0.018306617
10160000,-0.4098783,0.7687248,9.6900156e-05,-25.39267565337165,4981.0,-25.392675620814163,None,None
10170000,-0.37023765,0.75853795,9.6692835e-05,None,None,None,0.0125491815,0.0125730485
10180000,-0.495009,0.8091872,9.6493146e-05,None,None,None,0.0076647853,0.017313989
10190000,-0.39766666,0.80446,9.6300035e-05,-21.693099165645737,4981.0,-21.69309940189123,0.0056841364,0.015185988
10200000,-0.28213307,0.7538119,9.6092714e-05,None,None,None,0.0068395534,0.0197003
10210000,-0.47623384,0.7714786,9.5893025e-05,None,None,None,0.020088298,0.022855312
10220000,-0.38548446,0.79487276,9.569992e-05,-25.045887511902645,4981.0,-25.045887639125187,0.009008228,0.021975415
10230000,-0.39184743,0.74113894,9.54926e-05,None,None,None,0.010183992,0.018711839
