Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
430000,-0.4183052,1.6727489,0.0002915106,-20.201135219423577,4980.125,-20.201135251671076
440000,-0.39989886,1.6104841,0.00029131654,None,None,None
450000,-0.40931314,1.577182,0.0002911117,None,None,None
460000,-0.42775854,1.5789416,0.00029090693,None,None,None
470000,-0.41770574,1.5918584,0.0002907105,-21.827947789628524,4981.0,-21.827947764657438
480000,-0.40893632,1.6028551,0.00029051636,None,None,None
490000,-0.41850805,1.6457129,0.00029031158,None,None,None
500000,-0.39729646,1.6132538,0.00029010675,None,None,None
510000,-0.40425664,1.6483034,0.00028991033,-19.693366132225492,4981.0,-19.693366199731827
520000,-0.38507086,1.6534259,0.0002897162,None,None,None
530000,-0.3862599,1.6581686,0.0002895114,None,None,None
540000,-0.39267057,1.6766831,0.00028930657,None,None,None
550000,-0.4055135,1.6713563,0.0002891102,-20.50293632200919,4981.0,-20.5029363501817
560000,-0.4239438,1.6511236,0.00028891605,None,None,None
570000,-0.42589104,1.6621202,0.00028871122,None,None,None
580000,-0.39863294,1.6535285,0.00028850645,None,None,None
590000,-0.38388443,1.6301862,0.00028831002,-21.53141142756067,4981.0,-21.531411362811923
600000,-0.42688018,1.6218586,0.00028811587,None,None,None
610000,-0.41023576,1.6538557,0.0002879111,None,None,None
620000,-0.40481082,1.6931303,0.00028770627,None,None,None
630000,-0.4124224,1.6642774,0.00028750984,-20.414361783798086,4981.0,-20.414361715083942
640000,-0.42246452,1.6665943,0.00028731575,None,None,None
650000,-0.40141168,1.6661232,0.00028711092,None,None,None
660000,-0.4030492,1.656954,0.0002869061,None,None,None
670000,-0.42335093,1.6706318,0.00028670975,-20.432692677510204,4981.0,-20.432692606002092
680000,-0.39753067,1.6098849,0.00028651557,None,None,None
690000,-0.36161232,1.6480324,0.00028631074,None,None,None
700000,-0.39243478,1.6762369,0.00028610596,None,None,None
710000,-0.34309867,1.6858308,0.00028590954,-19.72665104040061,4981.0,-19.72665106318891
720000,-0.36220026,1.6862671,0.0002857154,None,None,None
730000,-0.36081484,1.6984371,0.0002855106,None,None,None
740000,-0.39971593,1.703317,0.00028530578,None,None,None
750000,-0.38428763,1.6842656,0.0002851094,-19.915677458964637,4981.0,-19.91567741613835
760000,-0.39299673,1.6605108,0.00028491527,None,None,None
770000,-0.42320564,1.6576449,0.00028471043,None,None,None
780000,-0.34501722,1.6679598,0.00028450563,None,None,None
790000,-0.36022815,1.6742562,0.00028430927,-19.622536793576728,4981.0,-19.622536757029593
800000,-0.3723177,1.6982944,0.00028411509,None,None,None
810000,-0.40463138,1.6715078,0.00028391028,None,None,None
820000,-0.38314557,1.6663132,0.00028370548,None,None,None
830000,-0.41093674,1.6565014,0.00028350909,-19.5057335444435,4981.0,-19.50573347788304
840000,-0.39577734,1.6493456,0.0002833149,None,None,None
850000,-0.42619798,1.6702532,0.00028311013,None,None,None
860000,-0.4010193,1.624954,0.0002829053,None,None,None
870000,-0.39376205,1.6127782,0.0002827089,-19.821971260797,4981.0,-19.82197119295597
880000,-0.4267651,1.6311814,0.00028251478,None,None,None
890000,-0.41599724,1.6411291,0.00028230995,None,None,None
900000,-0.37213522,1.6392319,0.00028210515,None,None,None
910000,-0.4159032,1.622366,0.00028190875,-20.459482351114275,4981.0,-20.459482305683196
920000,-0.3621978,1.6265278,0.0002817146,None,None,None
930000,-0.37149927,1.6344349,0.00028150977,None,None,None
940000,-0.38988656,1.6431401,0.000281305,None,None,None
950000,-0.40077645,1.647729,0.0002811086,-20.255620671538054,4981.0,-20.255620764568448
960000,-0.44117796,1.6379086,0.00028091442,None,None,None
970000,-0.40245724,1.6102931,0.00028070965,None,None,None
980000,-0.4355701,1.6393096,0.0002805048,None,None,None
990000,-0.45662278,1.6198083,0.00028030842,-19.28027306625154,4981.0,-19.28027305100113
1000000,-0.40538308,1.6377418,0.0002801143,None,None,None
1010000,-0.44593665,1.6350161,0.00027990947,None,None,None
1020000,-0.39136094,1.612415,0.00027970466,None,None,None
