Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
4035000,0.094211236,0.00029999999,-1.2828204469988123,208.0,1.8818339,-1.2828205227851868
4040000,-1.1479039,0.00029999999,-1.7673820960335433,386.3333333333333,1.68723,-1.7673821051915486
4045000,-1.2893281,0.00029999999,-2.1268662022193894,828.0,1.9576752,-2.12686625123024
4050000,-1.2143375,0.00029999999,-2.6388011102875075,838.6666666666666,1.8632381,-2.6388011326392493
4055000,-1.0899879,0.00029999999,-2.969165073474869,1357.0,2.0776246,-2.9691649824380875
4060000,-1.0898454,0.00029999999,-3.380442727357149,1736.0,2.1856813,-3.380442723631859
4065000,-0.7436742,0.00029999999,None,None,2.2603028,None
4070000,-1.0833749,0.00029999999,-4.907521243905649,2496.0,2.2330081,-4.907521277666092
4075000,-1.2125064,0.00029999996,-1.5599700100719929,1019.0,2.1120443,-1.559970112517476
4080000,-0.7929285,0.00029999996,None,None,2.2334895,None
4085000,-0.9030831,0.00029999996,-3.3673032561782748,1831.0,2.103853,-3.3673033341765404
4090000,-0.72901607,0.00029999996,None,None,2.2565427,None
4095000,-0.66026807,0.00029999999,None,None,2.253162,None
4100000,-0.7065548,0.00029999999,None,None,2.1556327,None
4105000,-0.9477846,0.00029999999,-6.807760952506214,4514.0,2.231421,-6.807760793715715
4110000,-0.97663504,0.00029999999,None,None,2.1692169,None
4115000,-0.71945596,0.00029999999,-6.581258602178423,4104.375,1.9686489,-6.581258636666462
4120000,-0.69660896,0.00029999999,-5.245932739538451,3981.6666666666665,2.0318446,-5.24593270321687
4125000,-0.36891174,0.00029999999,-5.074602392618544,3393.6666666666665,2.2450976,-5.0746024660766125
4130000,-0.59075844,0.00029999999,-2.8163165998179465,2476.8,2.0504363,-2.8163165897130966
4135000,-0.5439533,0.00029999999,None,None,2.346764,None
