Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
50000,0.033409636,0.0005918654,0.008977022,1.4205304,0.00029717266,-8.973279488272965,3014.0,-8.973279297351837
55000,0.05854565,None,None,1.4205304,0.0002968051,None,None,None
60000,0.070173234,None,None,1.4205304,0.00029655936,None,None,None
65000,0.08643217,None,None,1.4205304,0.00029631364,None,None,None
70000,0.06448015,None,None,1.4205304,0.00029594498,None,None,None
75000,0.08351015,None,None,1.4205304,0.00029557626,None,None,None
80000,0.08176427,None,None,1.4205306,0.0002952905,-6.30957184455668,4981.0,-6.309571860296031
85000,0.07236407,None,None,1.4205306,0.00029505396,None,None,None
90000,0.05367874,0.0006449171,0.01208551,1.4209124,0.0002947075,None,None,None
95000,0.040793575,None,None,1.4209124,0.00029446176,None,None,None
100000,0.030861488,None,None,1.4209124,0.00029421604,None,None,None
105000,0.025485564,None,None,1.4209124,0.00029384738,None,None,None
110000,0.039456856,None,None,1.4209124,0.00029347875,None,None,None
115000,0.039133165,None,None,1.4209124,0.000293233,None,None,None
120000,0.03848915,None,None,1.4209124,0.00029298727,None,None,None
125000,0.04442645,None,None,1.4209125,0.00029268936,None,None,None
130000,0.037721734,0.00039712814,0.012928238,1.4211366,0.0002923475,-6.659037730074488,4096.5,-6.659037850797176
135000,0.01645927,None,None,1.421297,0.00029200417,None,None,None
140000,0.014154243,None,None,1.421297,0.0002917556,-9.996249666437507,3763.0,-9.996249616146088
145000,0.022403928,None,None,1.421297,0.00029151267,None,None,None
150000,0.030458752,None,None,1.421297,0.0002911595,None,None,None
155000,0.025887053,None,None,1.4212968,0.00029080774,None,None,None
160000,0.014729778,None,None,1.4212968,0.00029049985,-10.159163447598425,4981.0,-10.159163407444094
165000,0.020890173,None,None,1.421297,0.00029025116,None,None,None
170000,0.019490192,None,None,1.421297,0.0002899066,None,None,None
175000,-0.010704811,0.00074640254,0.011987488,1.42128,0.00028966082,None,None,None
