Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,-0.07716312,1.4189385,0.00029436333,-2.839746952148895,4981.0,-3.0601775800618767
65000,-0.069231905,1.4189383,0.00029384522,None,None,-0.4150101775303483
70000,-0.067487314,1.4189385,0.00029323078,None,None,None
75000,-0.06754544,1.4189385,0.00029277004,None,None,None
80000,-0.071101576,1.4189385,0.0002923092,None,None,None
85000,-0.06630176,1.4189385,0.00029169486,None,None,None
90000,-0.060430445,1.4189385,0.00029123403,None,None,None
95000,-0.069348395,1.4189385,0.00029077323,None,None,None
100000,-0.061488677,1.4189385,0.0002901588,None,None,None
105000,-0.075606816,1.4189385,0.00028969807,None,None,None
110000,-0.05812065,1.4189385,0.00028923724,None,None,None
115000,-0.069700964,1.4189385,0.0002887764,None,None,None
120000,-0.07164182,1.4189385,0.00028836212,-2.0781731879217964,4981.0,-2.1828080272217365
125000,-0.06564748,1.4189383,0.00028784398,None,None,-0.927190201357007
130000,-0.06738176,1.4189385,0.00028722966,None,None,None
135000,-0.067335226,1.4189385,0.00028676883,None,None,None
140000,-0.050690524,1.4189385,0.000286308,None,None,None
145000,-0.062144857,1.4189385,0.0002856936,None,None,None
150000,-0.06619421,1.4189385,0.00028523285,None,None,None
155000,-0.05951102,1.4189385,0.00028477202,None,None,None
160000,-0.0724062,1.4189385,0.00028415764,None,None,None
165000,-0.07407886,1.4189385,0.00028369675,None,None,None
170000,-0.07099467,1.4189385,0.00028323603,None,None,None
175000,-0.071235694,1.4189385,0.00028277517,None,None,None
180000,-0.07504037,1.4189385,0.00028236097,-2.2590111708962772,4981.0,-2.4723532971164044
185000,-0.08334846,1.4189383,0.00028184283,None,None,0.08775250083999708
190000,-0.07768685,1.4189385,0.00028122845,None,None,None
195000,-0.09283538,1.4189385,0.00028076765,None,None,None
200000,-0.085757755,1.4189385,0.0002803068,None,None,None
205000,-0.07682256,1.4189385,0.00027969247,None,None,None
210000,-0.07300589,1.4189385,0.0002792316,None,None,None
215000,-0.086335875,1.4189385,0.0002787708,None,None,None
