Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
7065000,0.037485585,1.4055041,8.8134235e-05,1.578701916243972,4981.0,1.578701855406204
7070000,0.07483672,1.4055042,8.79788e-05,None,None,None
7075000,0.059452545,1.4055042,8.784056e-05,None,None,None
7080000,0.015864413,1.4055042,8.770232e-05,None,None,None
7085000,0.035048947,1.4055042,8.751801e-05,None,None,None
7090000,0.035258837,1.4055692,8.737975e-05,None,None,None
7095000,0.029548017,1.4055692,8.7241526e-05,None,None,None
7100000,0.05229192,1.4055692,8.705721e-05,None,None,None
7105000,0.049147516,1.4055692,8.6918946e-05,None,None,None
7110000,0.035794456,1.4055692,8.678071e-05,None,None,None
7115000,0.042550854,1.4055692,8.6596396e-05,None,None,None
7120000,0.025488421,1.4055692,8.645816e-05,None,None,None
7125000,0.072510235,1.4055691,8.6333865e-05,1.4253337286503058,4981.0,1.4253337442690583
7130000,0.052206326,1.4055682,8.6178436e-05,None,None,None
7135000,0.0533089,1.4055673,8.60402e-05,None,None,None
7140000,0.057190288,1.4055673,8.590195e-05,None,None,None
7145000,0.051251423,1.4055673,8.5717635e-05,None,None,None
7150000,0.043508753,1.4055673,8.5579384e-05,None,None,None
7155000,0.044128958,1.4055673,8.544116e-05,None,None,None
7160000,0.051450484,1.4055673,8.5256834e-05,None,None,None
7165000,0.041655887,1.4055673,8.511859e-05,None,None,None
7170000,0.019545399,1.4055673,8.498037e-05,None,None,None
7175000,0.03042994,1.4054079,8.4842126e-05,None,None,None
7180000,0.011138877,1.4054079,8.470389e-05,None,None,None
7185000,0.016534735,1.4054079,8.453351e-05,1.2413585661252,4981.0,1.24135856811093
7190000,0.07658972,1.4054079,8.437808e-05,None,None,None
7195000,0.053135853,1.4054079,8.423986e-05,None,None,None
7200000,0.03937899,1.4054079,8.410159e-05,None,None,None
7205000,0.030236084,1.4054079,8.3917286e-05,None,None,None
7210000,0.050846756,1.4054079,8.377903e-05,None,None,None
7215000,0.026565716,1.4053736,8.36408e-05,None,None,None
7220000,0.037228957,1.4053391,8.3456485e-05,None,None,None
7225000,0.038022924,1.4053391,8.331822e-05,None,None,None
7230000,0.025775615,1.4053391,8.3180006e-05,None,None,None
7235000,0.03435544,1.4053391,8.304174e-05,None,None,None
7240000,0.028796732,1.4053391,8.290352e-05,None,None,None
7245000,0.04963241,1.4053391,8.273315e-05,1.5214810598225388,4981.0,1.521481065719854
7250000,0.053598545,1.4053391,8.257771e-05,None,None,None
7255000,0.051128794,1.4053391,8.2439474e-05,None,None,None
7260000,0.02405833,1.4051055,8.230123e-05,None,None,None
7265000,0.018178945,1.4051055,8.211692e-05,None,None,None
7270000,0.022751931,1.4051055,8.197866e-05,None,None,None
7275000,0.019142581,1.4051055,8.184044e-05,None,None,None
7280000,0.019348461,1.4051055,8.165613e-05,None,None,None
7285000,0.018051095,1.4051055,8.151789e-05,None,None,None
7290000,0.011683667,1.4051055,8.137965e-05,None,None,None
7295000,0.013838724,1.4051055,8.12414e-05,None,None,None
7300000,0.014384392,1.4049762,8.1103164e-05,None,None,None
7305000,0.01809865,1.404847,8.0932805e-05,1.4097794677742665,4981.0,1.4097794941941781
7310000,0.04704889,1.404847,8.077736e-05,None,None,None
7315000,0.049047366,1.404847,8.063913e-05,None,None,None
7320000,0.045488603,1.404847,8.050089e-05,None,None,None
7325000,0.027647637,1.404847,8.031656e-05,None,None,None
7330000,0.043711517,1.404847,8.01783e-05,None,None,None
7335000,0.023593703,1.404847,8.0040074e-05,None,None,None
7340000,0.024738234,1.4048524,7.985576e-05,None,None,None
7345000,0.028289227,1.4048578,7.97175e-05,None,None,None
7350000,0.008841948,1.4048578,7.957927e-05,None,None,None
7355000,0.026127607,1.4048578,7.944104e-05,None,None,None
7360000,0.017826313,1.4048578,7.9302794e-05,None,None,None
7365000,0.028455393,1.4048579,7.913242e-05,1.6560022326049573,4981.0,1.6560022689494265
7370000,0.0741311,1.4048578,7.8977e-05,None,None,None
7375000,0.026230687,1.4048578,7.883877e-05,None,None,None
7380000,0.029164314,1.4048578,7.870051e-05,None,None,None
7385000,0.033273805,1.4047049,7.85162e-05,None,None,None
7390000,0.036482412,1.4047049,7.837797e-05,None,None,None
7395000,0.03002013,1.4047049,7.8239726e-05,None,None,None
