Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
60000,0.012556854,-0.12349806,1.4189385,0.00029373704,-2.6415745290444677,4981.0,-2.640498400284824,0.0
65000,0.019653345,-0.15104567,1.4189383,0.00029316134,None,None,-2.6534117875853553,0.0
70000,0.00083786884,-0.13531497,1.4189385,0.00029247868,None,None,None,None
75000,0.011657639,-0.14066614,1.4189385,0.0002919667,None,None,None,None
80000,-0.0054111117,-0.120813325,1.4189385,0.0002914547,None,None,None,None
85000,-0.018572396,-0.10792134,1.4189385,0.000290772,None,None,None,None
90000,0.005684943,-0.103180744,1.4189385,0.00029026,None,None,None,None
95000,-0.0010156428,-0.09946917,1.4189385,0.00028974802,None,None,None,None
100000,0.028191393,-0.109096214,1.4189385,0.00028906536,None,None,None,None
105000,0.018377999,-0.098177925,1.4189385,0.00028855336,None,None,None,None
110000,0.03153549,-0.12237761,1.4189385,0.00028804137,None,None,None,None
115000,0.053983368,-0.1294694,1.4189385,0.00028752937,None,None,None,None
120000,0.030462949,-0.12839979,1.4189385,0.000287069,-2.314251962974595,4981.0,-2.548282545843077,0.0
125000,0.020869363,-0.127055,1.4189383,0.00028649333,None,None,0.2600853606418241,0.0
130000,0.04192131,-0.12164866,1.4189385,0.00028581067,None,None,None,None
135000,0.04311347,-0.10826246,1.4189385,0.00028529862,None,None,None,None
140000,0.013403891,-0.112399414,1.4189385,0.00028478663,None,None,None,None
145000,-0.0046514757,-0.11332829,1.4189385,0.00028410397,None,None,None,None
150000,0.0322204,-0.098422445,1.4189385,0.00028359197,None,None,None,None
155000,-0.0012346789,-0.09969423,1.4189385,0.00028307998,None,None,None,None
160000,0.014965892,-0.121219836,1.4189385,0.00028239732,None,None,None,None
165000,0.01302738,-0.12014502,1.4189385,0.00028188532,None,None,None,None
170000,0.015188721,-0.11983155,1.4189385,0.00028137333,None,None,None,None
175000,0.028904116,-0.12381866,1.4189385,0.0002808613,None,None,None,None
180000,0.0213765,-0.12082437,1.4189385,0.000280401,-1.9377524961034094,4981.0,-1.9673672107720366,0.0
185000,0.042282276,-0.12849276,1.4189383,0.00027982538,None,None,-1.6119911756832153,0.0
190000,0.04869322,-0.13310055,1.4189385,0.00027914273,None,None,None,None
195000,0.025004784,-0.11958363,1.4189385,0.0002786307,None,None,None,None
200000,0.056468286,-0.13007076,1.4189385,0.0002781187,None,None,None,None
205000,0.06820602,-0.13173065,1.4189385,0.00027743605,None,None,None,None
210000,0.052652754,-0.1366826,1.4189385,0.00027692405,None,None,None,None
215000,0.03909982,-0.14551342,1.4189385,0.00027641206,None,None,None,None
220000,0.027598834,-0.12995332,1.4189385,0.0002757294,None,None,None,None
225000,0.012038638,-0.12063718,1.4189385,0.0002752174,None,None,None,None
230000,0.0012540377,-0.11083831,1.4189385,0.0002747054,None,None,None,None
235000,0.013160852,-0.12433738,1.4189385,0.00027419341,None,None,None,None
240000,0.004673767,-0.121327594,1.4189385,0.00027373308,-2.565834588251164,4981.0,-2.587417098418386,0.0
245000,0.0086148335,-0.13408293,1.4189383,0.00027315735,None,None,-2.328427200904116,0.0
250000,0.016938634,-0.12389282,1.4189385,0.0002724747,None,None,None,None
255000,0.0049424027,-0.115094736,1.4189385,0.0002719627,None,None,None,None
260000,0.023684023,-0.11853587,1.4189385,0.0002714507,None,None,None,None
265000,0.017403511,-0.10598066,1.4189385,0.00027076804,None,None,None,None
270000,0.016572451,-0.09192622,1.4189385,0.00027025605,None,None,None,None
275000,0.0035686973,-0.10904856,1.4189385,0.00026974405,None,None,None,None
280000,-0.026622955,-0.11944319,1.4189385,0.0002690614,None,None,None,None
285000,-0.005132683,-0.1051394,1.4189385,0.00026854937,None,None,None,None
290000,-0.028735107,-0.09974163,1.4189385,0.00026803737,None,None,None,None
295000,-0.038118094,-0.10669921,1.4189385,0.00026752538,None,None,None,None
300000,-0.012656918,-0.12221055,1.4189385,0.00026706504,-2.340731244970508,4981.0,-2.484167307080828,0.0
305000,0.019886956,-0.12688024,1.4189383,0.00026648934,None,None,-0.7629352901130915,0.0
310000,0.0012772762,-0.11111379,1.4189385,0.00026580668,None,None,None,None
315000,0.00016637631,-0.12777525,1.4189385,0.0002652947,None,None,None,None
320000,0.024290059,-0.10927116,1.4189385,0.0002647827,None,None,None,None
325000,0.028340563,-0.122675024,1.4189385,0.00026410003,None,None,None,None
330000,0.032377355,-0.11724289,1.4189385,0.000263588,None,None,None,None
335000,0.024403725,-0.12787089,1.4189385,0.00026307604,None,None,None,None
340000,0.044395983,-0.12392978,1.4189385,0.00026239335,None,None,None,None
345000,0.028057575,-0.12000424,1.4189385,0.00026188136,None,None,None,None
350000,0.030006658,-0.11241557,1.4189385,0.00026136937,None,None,None,None
