Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,-0.013115258,1.4189385,0.00029373704,-2.4009972596854823,4981.0,-2.4006985584115186
65000,0.018096589,1.4189383,0.00029316134,None,None,-2.404283072799444
70000,0.030661106,1.4189385,0.00029247868,None,None,None
75000,0.02032496,1.4189385,0.0002919667,None,None,None
80000,0.0012095161,1.4189385,0.0002914547,None,None,None
85000,0.010668277,1.4189385,0.000290772,None,None,None
90000,0.020110482,1.4189385,0.00029026,None,None,None
95000,0.024242364,1.4189385,0.00028974802,None,None,None
100000,0.007142809,1.4189385,0.00028906536,None,None,None
105000,0.019316887,1.4189385,0.00028855336,None,None,None
110000,0.01750954,1.4189385,0.00028804137,None,None,None
115000,-0.0072321515,1.4189385,0.00028752937,None,None,None
120000,-0.013804205,1.4189385,0.000287069,-1.8819300421731289,4981.0,-1.9214189405531876
125000,0.03118964,1.4189383,0.00028649333,None,None,-1.4475511971395463
130000,0.0024914003,1.4189385,0.00028581067,None,None,None
135000,0.0047582784,1.4189385,0.00028529862,None,None,None
140000,0.019517351,1.4189385,0.00028478663,None,None,None
145000,0.00018121507,1.4189385,0.00028410397,None,None,None
150000,0.0187043,1.4189385,0.00028359197,None,None,None
155000,0.007095249,1.4189385,0.00028307998,None,None,None
160000,-0.0030197455,1.4189385,0.00028239732,None,None,None
165000,-0.00179301,1.4189385,0.00028188532,None,None,None
170000,0.021828283,1.4189385,0.00028137333,None,None,None
175000,-0.003558413,1.4189385,0.0002808613,None,None,None
180000,-0.014753145,1.4189385,0.000280401,-2.4804899307049104,4981.0,-2.482530026262711
185000,0.010812474,1.4189383,0.00027982538,None,None,-2.4580495340633206
190000,0.01089622,1.4189385,0.00027914273,None,None,None
195000,0.0043548527,1.4189385,0.0002786307,None,None,None
200000,0.018843006,1.4189385,0.0002781187,None,None,None
205000,-0.00018916391,1.4189385,0.00027743605,None,None,None
210000,0.0068536005,1.4189385,0.00027692405,None,None,None
215000,-0.0010565402,1.4189385,0.00027641206,None,None,None
220000,0.011807657,1.4189385,0.0002757294,None,None,None
225000,0.003968856,1.4189385,0.0002752174,None,None,None
230000,-0.0010005019,1.4189385,0.0002747054,None,None,None
235000,0.012987273,1.4189385,0.00027419341,None,None,None
240000,-0.00069056795,1.4189385,0.00027373308,-1.8446026288926685,4981.0,-1.8449826961282683
245000,-0.00063882314,1.4189383,0.00027315735,None,None,-1.840421569533646
250000,-0.0072252485,1.4189385,0.0002724747,None,None,None
255000,0.0012503061,1.4189385,0.0002719627,None,None,None
260000,0.0022055693,1.4189385,0.0002714507,None,None,None
265000,0.00013022702,1.4189385,0.00027076804,None,None,None
270000,0.009315509,1.4189385,0.00027025605,None,None,None
275000,0.016120689,1.4189385,0.00026974405,None,None,None
280000,0.0013272726,1.4189385,0.0002690614,None,None,None
285000,0.008015518,1.4189385,0.00026854937,None,None,None
290000,0.0047438876,1.4189385,0.00026803737,None,None,None
295000,0.0053794174,1.4189385,0.00026752538,None,None,None
300000,0.0046211644,1.4189385,0.00026706504,-2.458334087121633,4981.0,-2.5486108965759
305000,0.029797722,1.4189383,0.00026648934,None,None,-1.4652899967040867
310000,0.022700218,1.4189385,0.00026580668,None,None,None
315000,0.017172357,1.4189385,0.0002652947,None,None,None
320000,0.023773218,1.4189385,0.0002647827,None,None,None
325000,-0.00094234257,1.4189385,0.00026410003,None,None,None
330000,0.0020864361,1.4189385,0.000263588,None,None,None
335000,0.0017787402,1.4189385,0.00026307604,None,None,None
340000,0.012312103,1.4189385,0.00026239335,None,None,None
345000,0.0058529996,1.4189385,0.00026188136,None,None,None
350000,0.0007548539,1.4189385,0.00026136937,None,None,None
355000,-0.013296413,1.4189385,0.00026085737,None,None,None
360000,-0.00952481,1.4189385,0.00026039706,-1.1257906196879048,4981.0,-0.9765410773609553
365000,0.017167121,1.4189383,0.00025982133,None,None,-2.7675354424864054
370000,0.0041057356,1.4189385,0.00025913867,None,None,None
375000,0.027929878,1.4189385,0.00025862668,None,None,None
380000,0.03072306,1.4189385,0.00025811468,None,None,None
385000,-0.0005456436,1.4189385,0.00025743202,None,None,None
390000,0.00018476695,1.4189385,0.00025692003,None,None,None
395000,-0.0018278405,1.4189385,0.000256408,None,None,None
400000,-0.0025086284,1.4189385,0.00025589604,None,None,None
405000,-0.006646058,1.4189385,0.00025538402,None,None,None
410000,-0.010291591,1.4189385,0.00025470136,None,None,None
415000,-0.0029030016,1.4189385,0.00025418936,None,None,None
420000,-0.0072971927,1.4189385,0.00025372906,-2.766395680876182,4981.0,-3.019162660321771
425000,0.02212372,1.4189383,0.00025315332,None,None,0.014040763257071376
430000,0.00071212964,1.4189385,0.00025247067,None,None,None
435000,-0.005550073,1.4189385,0.00025195867,None,None,None
440000,0.008135926,1.4189385,0.00025144668,None,None,None
445000,-0.0061428356,1.4189385,0.00025076402,None,None,None
450000,0.0074837347,1.4189385,0.000250252,None,None,None
455000,0.008359885,1.4189385,0.00024974,None,None,None
460000,0.005784242,1.4189385,0.000249228,None,None,None
465000,-0.00065549265,1.4189385,0.000248716,None,None,None
470000,0.0019663207,1.4189385,0.00024803335,None,None,None
475000,-0.00071306643,1.4189385,0.00024752136,None,None,None
480000,0.00034330026,1.4189385,0.00024706102,-2.7507767600982334,4981.0,-2.789494191788518
485000,-0.030837858,1.4189383,0.0002464854,None,None,-2.324884846806526
490000,-0.02769826,1.4189385,0.00024580274,None,None,None
495000,-0.02514857,1.4189385,0.00024529075,None,None,None
