Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
320000,17.630003,6.4108295,0.00029999996,-4.503261390150404,4981.0,-4.503261434700107
325000,17.660383,6.4050407,0.00029999999,None,None,None
330000,17.647717,6.4042892,0.00029999999,None,None,None
335000,17.878187,6.416365,0.00029999999,None,None,None
340000,17.912634,6.4074173,0.00029999999,None,None,None
345000,17.905437,6.407103,0.00029999999,None,None,None
350000,18.062374,6.4291577,0.00029999999,None,None,None
355000,18.073708,6.4265304,0.00029999999,None,None,None
360000,18.048878,6.4259553,0.00029999999,None,None,None
365000,18.166525,6.4253483,0.00029999999,None,None,None
370000,18.137455,6.4291778,0.00029999999,None,None,None
375000,18.16485,6.427962,0.00029999999,None,None,None
380000,18.36432,6.422127,0.00029999996,-4.866399076549897,4981.0,-4.866399152291706
385000,18.422703,6.4106407,0.00029999999,None,None,None
390000,18.407246,6.431665,0.00029999999,None,None,None
395000,18.412195,6.4286695,0.00029999999,None,None,None
400000,18.465439,6.4325614,0.00029999999,None,None,None
405000,18.48346,6.4278297,0.00029999999,None,None,None
410000,18.532177,6.40305,0.00029999999,None,None,None
415000,18.49054,6.4091954,0.00029999999,None,None,None
420000,18.575489,6.4169693,0.00029999999,None,None,None
425000,18.655594,6.397634,0.00029999999,None,None,None
430000,18.619726,6.392939,0.00029999999,None,None,None
435000,18.638458,6.411646,0.00029999999,None,None,None
440000,18.67785,6.4498725,0.00029999996,-5.409279683164034,4981.0,-5.40927985261078
445000,18.724098,6.4449883,0.00029999999,None,None,None
450000,18.772593,6.3959427,0.00029999999,None,None,None
455000,18.762157,6.397053,0.00029999999,None,None,None
460000,18.77384,6.3935685,0.00029999999,None,None,None
465000,18.68693,6.4117293,0.00029999999,None,None,None
470000,18.655607,6.3927,0.00029999999,None,None,None
475000,18.683224,6.3995767,0.00029999999,None,None,None
480000,18.668808,6.4254127,0.00029999999,None,None,None
485000,18.707365,6.4260783,0.00029999999,None,None,None
490000,18.698814,6.424797,0.00029999999,None,None,None
495000,18.675562,6.445618,0.00029999999,None,None,None
500000,18.66892,6.464292,0.00029999996,-4.917270883985414,4981.0,-4.917270901457717
505000,18.644718,6.4201646,0.00029999999,None,None,None
510000,18.600325,6.4124074,0.00029999999,None,None,None
515000,18.634233,6.4092345,0.00029999999,None,None,None
520000,18.572866,6.4320664,0.00029999999,None,None,None
525000,18.57936,6.424826,0.00029999999,None,None,None
530000,18.572882,6.4267297,0.00029999999,None,None,None
535000,18.514244,6.4175644,0.00029999999,None,None,None
540000,18.472597,6.4480376,0.00029999999,None,None,None
545000,18.473822,6.4450474,0.00029999999,None,None,None
550000,18.413155,6.42526,0.00029999999,None,None,None
555000,18.35762,6.433496,0.00029999999,None,None,None
560000,18.336393,6.430356,0.00029999996,-6.582065994465968,4981.0,-6.5820660961932544
565000,18.30771,6.4142547,0.00029999999,None,None,None
570000,18.241861,6.4043045,0.00029999999,None,None,None
575000,18.234064,6.404499,0.00029999999,None,None,None
580000,18.190994,6.363346,0.00029999999,None,None,None
585000,18.155933,6.3695197,0.00029999999,None,None,None
590000,18.134375,6.400688,0.00029999999,None,None,None
595000,18.060932,6.4066963,0.00029999999,None,None,None
600000,18.073624,6.4101562,0.00029999999,None,None,None
605000,18.073812,6.4155483,0.00029999999,None,None,None
610000,17.9494,6.4109154,0.00029999999,None,None,None
615000,17.937363,6.4113593,0.00029999999,None,None,None
620000,17.928465,6.415929,0.00029999996,-7.186393691050701,4981.0,-7.1863937473438755
625000,17.92393,6.41266,0.00029999999,None,None,None
630000,17.90996,6.3995934,0.00029999999,None,None,None
635000,17.786446,6.4067893,0.00029999999,None,None,None
640000,17.721878,6.4121113,0.00029999999,None,None,None
645000,17.715387,6.412638,0.00029999999,None,None,None
650000,17.668114,6.436336,0.00029999999,None,None,None
655000,17.669102,6.4447484,0.00029999999,None,None,None
660000,17.654573,6.4465785,0.00029999999,None,None,None
665000,17.566051,6.4307923,0.00029999999,None,None,None
670000,17.522194,6.419977,0.00029999999,None,None,None
675000,17.518974,6.4221783,0.00029999999,None,None,None
680000,17.46856,6.430727,0.00029999996,-6.383098236225426,4981.0,-6.383098191164511
685000,17.494972,6.417351,0.00029999999,None,None,None
690000,17.406294,6.4621873,0.00029999999,None,None,None
695000,17.30601,6.4676433,0.00029999999,None,None,None
700000,17.33771,6.478142,0.00029999999,None,None,None
705000,17.263018,6.4616675,0.00029999999,None,None,None
710000,17.180412,6.404637,0.00029999999,None,None,None
715000,17.180237,6.3962007,0.00029999999,None,None,None
720000,17.165949,6.425846,0.00029999999,None,None,None
725000,17.069485,6.4258933,0.00029999999,None,None,None
730000,17.03553,6.415499,0.00029999999,None,None,None
735000,16.982243,6.42321,0.00029999999,None,None,None
740000,16.846136,6.421332,0.00029999996,-5.0516307601719745,4981.0,-5.051630790650961
745000,16.854418,6.4342256,0.00029999999,None,None,None
750000,16.700962,6.4089866,0.00029999999,None,None,None
755000,16.682522,6.4141693,0.00029999999,None,None,None
760000,16.702213,6.3992066,0.00029999999,None,None,None
765000,16.503008,6.4382873,0.00029999999,None,None,None
770000,16.51959,6.449497,0.00029999999,None,None,None
775000,16.53127,6.432829,0.00029999999,None,None,None
780000,16.411127,6.3922114,0.00029999999,None,None,None
785000,16.377155,6.3847814,0.00029999999,None,None,None
790000,16.368887,6.400006,0.00029999999,None,None,None
795000,16.18438,6.3998322,0.00029999999,None,None,None
800000,16.153189,6.4166026,0.00029999996,-6.206707102157755,4981.0,-6.206707015555973
805000,16.082516,6.415945,0.00029999999,None,None,None
810000,16.016993,6.414397,0.00029999999,None,None,None
815000,16.023882,6.4069457,0.00029999999,None,None,None
820000,15.918603,6.4460845,0.00029999999,None,None,None
825000,15.818258,6.4409976,0.00029999999,None,None,None
830000,15.824156,6.4182625,0.00029999999,None,None,None
835000,15.728027,6.3770657,0.00029999999,None,None,None
840000,15.672615,6.3488154,0.00029999999,None,None,None
845000,15.709707,6.3482513,0.00029999999,None,None,None
850000,15.596569,6.3937926,0.00029999999,None,None,None
855000,15.493411,6.365728,0.00029999999,None,None,None
860000,15.465137,6.3756166,0.00029999996,-11.900744025991116,4981.0,-11.900743963216277
865000,15.366359,6.3844237,0.00029999999,None,None,None
870000,15.369944,6.3853683,0.00029999999,None,None,None
875000,15.316399,6.3955407,0.00029999999,None,None,None
880000,15.166898,6.318442,0.00029999999,None,None,None
885000,15.154478,6.3382983,0.00029999999,None,None,None
890000,15.138643,6.367169,0.00029999999,None,None,None
895000,14.995097,6.3777676,0.00029999999,None,None,None
900000,14.937073,6.355255,0.00029999999,None,None,None
905000,14.916273,6.298113,0.00029999999,None,None,None
910000,14.74681,6.279592,0.00029999999,None,None,None
915000,14.767201,6.302948,0.00029999999,None,None,None
920000,14.792377,6.307234,0.00029999996,-13.131146194586412,4981.0,-13.131146114707613
925000,14.810587,6.313874,0.00029999999,None,None,None
930000,14.765152,6.2852607,0.00029999999,None,None,None
935000,14.663134,6.3516507,0.00029999999,None,None,None
940000,14.642257,6.3730216,0.00029999999,None,None,None
945000,14.642779,6.3455043,0.00029999999,None,None,None
950000,14.509906,6.1373477,0.00029999999,None,None,None
955000,14.412152,6.03289,0.00029999999,None,None,None
960000,14.425969,6.0643997,0.00029999999,None,None,None
965000,14.307195,6.1234527,0.00029999999,None,None,None
970000,14.240739,6.1332383,0.00029999999,None,None,None
975000,14.261383,6.1529737,0.00029999999,None,None,None
980000,14.217094,6.014225,0.00029999996,-22.761946837649703,4981.0,-22.761946828317985
985000,14.199498,5.9870467,0.00029999999,None,None,None
990000,14.121475,5.941643,0.00029999999,None,None,None
995000,14.000246,5.9403024,0.00029999999,None,None,None
1000000,13.981262,6.0163426,0.00029999999,None,None,None
1005000,13.908068,5.968029,0.00029999999,None,None,None
1010000,13.788908,5.7557025,0.00029999999,None,None,None
1015000,13.765091,5.760328,0.00029999999,None,None,None
1020000,13.716747,5.802948,0.00029999999,None,None,None
1025000,13.581955,5.590546,0.00029999999,None,None,None
1030000,13.555014,5.5934424,0.00029999999,None,None,None
1035000,13.544317,5.5948296,0.00029999999,None,None,None
1040000,13.441985,5.5619884,0.00029999996,-14.99880392331579,4981.0,-14.998803908005357
1045000,13.4555235,5.565664,0.00029999999,None,None,None
1050000,13.306429,5.581614,0.00029999999,None,None,None
1055000,13.317767,5.5567994,0.00029999999,None,None,None
1060000,13.294009,5.546264,0.00029999999,None,None,None
1065000,13.179238,5.5448437,0.00029999999,None,None,None
1070000,13.160878,5.531107,0.00029999999,None,None,None
1075000,13.140783,5.498989,0.00029999999,None,None,None
1080000,13.002445,5.3123317,0.00029999999,None,None,None
1085000,13.003415,5.258736,0.00029999999,None,None,None
1090000,12.987112,5.13757,0.00029999999,None,None,None
1095000,12.762806,5.004143,0.00029999999,None,None,None
1100000,12.715116,5.0675025,0.00029999996,-35.55176581322272,4981.0,-35.551765522939
1105000,12.646289,4.6787467,0.00029999999,None,None,None
1110000,12.596083,4.5816674,0.00029999999,None,None,None
1115000,12.581755,4.6407123,0.00029999999,None,None,None
1120000,12.539898,4.6100388,0.00029999999,None,None,None
1125000,12.46682,4.6937566,0.00029999999,None,None,None
1130000,12.46308,4.74062,0.00029999999,None,None,None
1135000,12.368285,4.5478344,0.00029999999,None,None,None
1140000,12.298896,4.39498,0.00029999999,None,None,None
1145000,12.328762,4.3960195,0.00029999999,None,None,None
