Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
60000,0.016739607,0.73175895,-1.3428718,9.999998e-05,-1.109496998385642,4981.0,-1.4139528050172059,884.4601070501587
65000,0.07700818,0.84167445,-0.67744684,9.9999976e-05,None,None,2.239515896420926,481.0626211166382
70000,0.062528074,0.6107184,2.5285435,9.9999976e-05,None,None,None,None
75000,-0.20082979,0.62203836,-0.7887251,9.9999976e-05,None,None,None,None
80000,-0.38712198,0.6349577,0.2516958,9.9999976e-05,None,None,None,None
85000,-0.39605883,0.4214232,-1.0564024,9.9999976e-05,None,None,None,None
90000,-0.47922698,0.3177368,2.4945376,9.9999976e-05,None,None,None,None
95000,-0.60204804,0.17256963,2.209081,9.9999976e-05,None,None,None,None
100000,-0.60043204,-0.16486739,1.8850416,9.9999976e-05,None,None,None,None
105000,-0.62502444,0.1499324,3.08688,9.9999976e-05,None,None,None,None
110000,-0.64170027,0.22536588,0.79336834,9.9999976e-05,None,None,None,None
115000,-0.6741868,0.5513721,0.2799532,9.9999976e-05,None,None,None,None
120000,-0.6596137,0.5701661,1.4181093,9.999998e-05,-0.44688730534259474,4981.0,0.042382092850113455,1081.4853302131999
125000,-0.6928632,0.48659015,1.0269904,9.9999976e-05,None,None,-5.828851606696844,434.9851540327072
130000,-0.6246727,0.11299623,2.073838,9.9999976e-05,None,None,None,None
135000,-0.86721355,0.26989964,0.20986223,9.9999976e-05,None,None,None,None
140000,-0.8339427,0.21359606,0.58051896,9.9999976e-05,None,None,None,None
145000,-0.8284672,0.1469158,1.3933778,9.9999976e-05,None,None,None,None
150000,-1.1596117,0.3988065,1.7012806,9.9999976e-05,None,None,None,None
155000,-1.1922845,0.53908694,1.4262819,9.9999976e-05,None,None,None,None
160000,-1.1264775,0.109817244,2.1912968,9.9999976e-05,None,None,None,None
165000,-1.5345396,-0.11552479,0.6881518,9.9999976e-05,None,None,None,None
170000,-1.5975771,-0.12038624,1.204786,9.9999976e-05,None,None,None,None
175000,-1.5906067,-0.15060206,1.2021976,9.9999976e-05,None,None,None,None
180000,-1.8244603,-0.29955304,1.0193952,9.999998e-05,-6.850969665733828,4981.0,-6.762878074067306,815.9479963996193
185000,-2.0243487,-0.08281557,-4.080548,9.9999976e-05,None,None,-7.81997781060636,243.85971385240555
190000,-2.842774,-0.80849725,-0.2821381,9.9999976e-05,None,None,None,None
195000,-3.014851,-1.0697997,0.7141428,9.9999976e-05,None,None,None,None
200000,-3.1054018,-1.121298,-0.8793526,9.9999976e-05,None,None,None,None
205000,-3.9242058,-1.9340432,-2.387153,9.9999976e-05,None,None,None,None
210000,-4.4975386,-2.2219725,-1.3944632,9.9999976e-05,None,None,None,None
215000,-4.4819803,-2.2211,-2.4610503,9.9999976e-05,None,None,None,None
220000,-5.1743884,-2.6400304,-1.3639816,9.9999976e-05,None,None,None,None
225000,-5.600492,-2.8114665,-2.327356,9.9999976e-05,None,None,None,None
230000,-5.5899415,-3.043337,-4.476688,9.9999976e-05,None,None,None,None
235000,-5.893068,-3.1130667,-0.737092,9.9999976e-05,None,None,None,None
240000,-6.2415786,-3.3128474,-0.25783396,9.999998e-05,-10.656007359693527,4981.0,-9.91687975091521,755.44250089472
245000,-6.6568537,-3.037373,-1.4186674,9.9999976e-05,None,None,-18.786404503509402,284.3971411585808
250000,-7.4276276,-4.0107794,-2.224733,9.9999976e-05,None,None,None,None
255000,-7.373437,-3.5386848,-1.8890125,9.9999976e-05,None,None,None,None
260000,-7.797266,-3.4718125,-2.3994925,9.9999976e-05,None,None,None,None
265000,-8.430216,-4.5395966,2.8387032,9.9999976e-05,None,None,None,None
270000,-8.290602,-4.284312,1.6515394,9.9999976e-05,None,None,None,None
275000,-8.685671,-4.404727,1.8713747,9.9999976e-05,None,None,None,None
280000,-9.728834,-5.7743707,2.90187,9.9999976e-05,None,None,None,None
285000,-9.601936,-5.2228622,-0.54298526,9.9999976e-05,None,None,None,None
290000,-9.586528,-5.44044,0.97004294,9.9999976e-05,None,None,None,None
295000,-10.442645,-5.373806,4.2703743,9.9999976e-05,None,None,None,None
300000,-10.420053,-5.552077,1.5781875,9.999998e-05,-11.276236988977871,4981.0,-10.688158357812261,526.0845533839681
305000,-10.736865,-4.745917,2.7759502,9.9999976e-05,None,None,-17.74510195478797,155.39414712041616
310000,-10.527721,-5.140104,3.7450867,9.9999976e-05,None,None,None,None
315000,-10.662474,-5.1183815,4.199154,9.9999976e-05,None,None,None,None
320000,-10.618832,-4.6237364,4.853843,9.9999976e-05,None,None,None,None
325000,-10.561412,-4.9640017,3.809211,9.9999976e-05,None,None,None,None
330000,-10.38194,-4.7015214,5.9091315,9.9999976e-05,None,None,None,None
335000,-10.351724,-3.9708805,3.6677134,9.9999976e-05,None,None,None,None
340000,-10.249193,-4.2086353,3.5431118,9.9999976e-05,None,None,None,None
345000,-10.248093,-4.202099,5.1372294,9.9999976e-05,None,None,None,None
350000,-10.143154,-3.80797,4.9391885,9.9999976e-05,None,None,None,None
355000,-9.915747,-3.4984977,4.807366,9.9999976e-05,None,None,None,None
360000,-9.9595175,-3.6825097,4.751521,9.999998e-05,-13.860030339636674,4981.0,-14.225594839261083,269.4502498575232
365000,-10.123194,-3.6536953,5.2332506,9.9999976e-05,None,None,-9.838820663746446,25.724947094917297
370000,-9.7049885,-3.684365,4.8763437,9.9999976e-05,None,None,None,None
375000,-10.144164,-3.125584,4.67555,9.9999976e-05,None,None,None,None
380000,-10.379372,-3.1526818,4.8254337,9.9999976e-05,None,None,None,None
385000,-10.052361,-3.033093,4.453366,9.9999976e-05,None,None,None,None
390000,-9.9016075,-2.777247,3.6089935,9.9999976e-05,None,None,None,None
395000,-9.8824215,-2.5217562,4.686926,9.9999976e-05,None,None,None,None
400000,-10.110445,-2.7976153,3.8552024,9.9999976e-05,None,None,None,None
405000,-9.648186,-2.4649005,4.717479,9.9999976e-05,None,None,None,None
410000,-9.814928,-2.2388556,5.94964,9.9999976e-05,None,None,None,None
415000,-9.721671,-2.0945415,5.972793,9.9999976e-05,None,None,None,None
420000,-9.60083,-2.0720055,5.5362277,9.999998e-05,-10.318285429570702,4981.0,-10.90142049785407,180.6635050296106
425000,-9.37632,-1.6292194,3.9875867,9.9999976e-05,None,None,-3.9037987082265317,20.105263862758875
430000,-9.557413,-1.729903,4.8568797,9.9999976e-05,None,None,None,None
435000,-9.576456,-1.0807571,2.0047662,9.9999976e-05,None,None,None,None
440000,-9.758712,-0.992688,3.3301418,9.9999976e-05,None,None,None,None
445000,-9.369249,-0.91333055,3.843068,9.9999976e-05,None,None,None,None
450000,-9.16415,-0.53240603,4.432554,9.9999976e-05,None,None,None,None
455000,-8.961874,-0.9321615,5.2270174,9.9999976e-05,None,None,None,None
460000,-8.858863,-0.79884076,4.808542,9.9999976e-05,None,None,None,None
465000,-8.752694,-0.75993556,5.1031575,9.9999976e-05,None,None,None,None
470000,-8.601862,-0.5328658,4.315371,9.9999976e-05,None,None,None,None
475000,-8.692139,-0.3976088,4.9481206,9.9999976e-05,None,None,None,None
480000,-8.011874,-0.40328297,5.5037374,9.999998e-05,-17.184706805773203,4981.0,-17.87342875942969,331.81678028574044
485000,-8.370977,-0.258632,4.638524,9.9999976e-05,None,None,-9.608763478696346,62.52575112134218
490000,-8.233892,0.02973884,5.833198,9.9999976e-05,None,None,None,None
495000,-8.224347,0.30582684,5.881191,9.9999976e-05,None,None,None,None
500000,-8.219948,-0.080273665,5.639193,9.9999976e-05,None,None,None,None
505000,-7.936886,0.25349694,5.3229194,9.9999976e-05,None,None,None,None
510000,-7.6237655,0.12431504,5.4126744,9.9999976e-05,None,None,None,None
515000,-7.8264875,0.16489954,4.858051,9.9999976e-05,None,None,None,None
520000,-7.5962477,0.42617467,5.3400555,9.9999976e-05,None,None,None,None
525000,-7.295794,0.6749581,5.5180492,9.9999976e-05,None,None,None,None
530000,-7.126128,0.522803,5.2082143,9.9999976e-05,None,None,None,None
535000,-6.972747,0.8529707,6.2740936,9.9999976e-05,None,None,None,None
540000,-6.936111,0.7234665,6.1432343,9.999998e-05,-15.34180355840302,4981.0,-15.12769227669659,235.79461883520707
545000,-6.818988,0.64691836,5.855494,9.9999976e-05,None,None,-17.697024586377665,67.5467317122966
550000,-6.1806417,0.8143878,4.1997266,9.9999976e-05,None,None,None,None
555000,-6.1751537,1.2372264,3.8257515,9.9999976e-05,None,None,None,None
560000,-6.781446,1.2041115,4.617265,9.9999976e-05,None,None,None,None
565000,-6.0476084,0.98825586,5.7674026,9.9999976e-05,None,None,None,None
570000,-5.613631,1.2893326,5.279766,9.9999976e-05,None,None,None,None
575000,-5.3462286,1.0240653,5.644999,9.9999976e-05,None,None,None,None
580000,-5.300686,1.1164501,5.836576,9.9999976e-05,None,None,None,None
585000,-6.3055773,1.3253804,5.870739,9.9999976e-05,None,None,None,None
590000,-5.8841233,1.1557066,5.5853257,9.9999976e-05,None,None,None,None
595000,-5.880844,1.2352,5.5673575,9.9999976e-05,None,None,None,None
600000,-5.5291686,1.4902146,5.7594295,9.999998e-05,-10.66308182567991,4981.0,-11.103446254178628,221.714550554329
605000,-5.478101,1.7684323,6.271201,9.9999976e-05,None,None,-5.819074226543307,45.626272954046726
610000,-5.0901504,1.5311276,6.662069,9.9999976e-05,None,None,None,None
615000,-5.248929,1.4730694,6.4623733,9.9999976e-05,None,None,None,None
620000,-5.2233176,1.4523096,5.6381097,9.9999976e-05,None,None,None,None
625000,-5.1608686,1.5312855,6.228115,9.9999976e-05,None,None,None,None
630000,-5.140021,1.6557232,6.5000777,9.9999976e-05,None,None,None,None
635000,-4.8575163,1.655995,5.5364165,9.9999976e-05,None,None,None,None
640000,-4.080342,1.446298,5.402832,9.9999976e-05,None,None,None,None
645000,-3.7483654,1.3986015,5.555069,9.9999976e-05,None,None,None,None
650000,-3.637534,1.5437624,5.2842183,9.9999976e-05,None,None,None,None
655000,-4.3351917,1.5947882,5.778158,9.9999976e-05,None,None,None,None
660000,-4.738714,1.9096893,5.8462024,9.999998e-05,-9.273545806820039,4981.0,-9.302736084463753,176.34255600246516
665000,-4.9473524,1.9581636,5.7692084,9.9999976e-05,None,None,-8.952453624922782,65.81816962733865
670000,-4.703193,1.7907032,5.3271317,9.9999976e-05,None,None,None,None
675000,-4.4817233,1.8687623,6.0441318,9.9999976e-05,None,None,None,None
680000,-3.9303935,1.7231568,6.4721627,9.9999976e-05,None,None,None,None
685000,-3.40507,1.6261333,6.175373,9.9999976e-05,None,None,None,None
690000,-3.332728,1.6847945,6.276091,9.9999976e-05,None,None,None,None
695000,-3.2507052,1.6480917,5.426041,9.9999976e-05,None,None,None,None
700000,-3.5785089,1.7873157,5.698053,9.9999976e-05,None,None,None,None
705000,-3.6688027,1.7021942,5.629101,9.9999976e-05,None,None,None,None
710000,-3.246092,1.8009247,6.0704293,9.9999976e-05,None,None,None,None
715000,-4.004437,2.2709484,6.0536046,9.9999976e-05,None,None,None,None
720000,-3.6026237,1.8481735,6.0159464,9.999998e-05,-13.155360139090286,4981.0,-14.44354498446919,167.575541290245
725000,-3.9737573,2.0509589,4.4182677,9.9999976e-05,None,None,-6.7144361369428225,46.33838834427297
730000,-4.2634115,2.1617095,4.841602,9.9999976e-05,None,None,None,None
735000,-3.8288689,1.8958668,4.8411098,9.9999976e-05,None,None,None,None
740000,-3.6485243,1.8723923,4.9861526,9.9999976e-05,None,None,None,None
745000,-3.3662941,1.8310978,5.116947,9.9999976e-05,None,None,None,None
750000,-2.7008164,1.9381754,5.684387,9.9999976e-05,None,None,None,None
755000,-2.9128294,2.2181373,6.2619395,9.9999976e-05,None,None,None,None
760000,-2.8163908,2.1280878,5.51342,9.9999976e-05,None,None,None,None
765000,-1.9502434,1.9173673,6.1992135,9.9999976e-05,None,None,None,None
770000,-1.6906066,1.8898709,5.918919,9.9999976e-05,None,None,None,None
775000,-1.7617824,1.8316138,5.981051,9.9999976e-05,None,None,None,None
780000,-1.7438139,1.7782208,6.001487,9.999998e-05,-9.874960889609005,4981.0,-10.426114258775488,220.55973970771302
785000,-2.1974301,1.9694875,6.2476234,9.9999976e-05,None,None,-7.119193986058235,107.84320520516485
790000,-1.8194937,1.792601,6.451982,9.9999976e-05,None,None,None,None
795000,-1.3747218,1.8114736,5.913978,9.9999976e-05,None,None,None,None
800000,-1.528729,2.009472,6.072473,9.9999976e-05,None,None,None,None
805000,-1.7808082,2.0582616,6.0226483,9.9999976e-05,None,None,None,None
810000,-1.8914574,1.8131609,5.979534,9.9999976e-05,None,None,None,None
815000,-2.2313418,1.7936684,6.127523,9.9999976e-05,None,None,None,None
820000,-2.3284457,2.1508336,5.7812705,9.9999976e-05,None,None,None,None
825000,-2.0637474,1.8630505,5.862719,9.9999976e-05,None,None,None,None
830000,-1.8413972,1.8114742,5.7465224,9.9999976e-05,None,None,None,None
835000,-1.5663178,1.8552277,6.1896806,9.9999976e-05,None,None,None,None
840000,-1.292596,1.7136835,5.3385496,9.999998e-05,-8.409435786772823,4981.0,-8.749663840059657,148.3622472392395
845000,-1.5424687,2.1859882,5.4377184,9.9999976e-05,None,None,-6.7082959190011024,23.703097300138324
850000,-1.2603631,1.6702715,6.229448,9.9999976e-05,None,None,None,None
855000,-1.1572671,1.6683269,6.2736015,9.9999976e-05,None,None,None,None
860000,-1.5939026,1.7334902,5.9976544,9.9999976e-05,None,None,None,None
865000,-1.0199963,1.7254028,5.8228116,9.9999976e-05,None,None,None,None
870000,-0.8158954,1.7602384,5.2328124,9.9999976e-05,None,None,None,None
875000,-0.68603086,1.7721933,5.900781,9.9999976e-05,None,None,None,None
880000,-0.6319492,1.7665054,6.174065,9.9999976e-05,None,None,None,None
885000,-0.6511153,1.7254107,6.048262,9.9999976e-05,None,None,None,None
890000,-0.71887684,1.8649571,5.85615,9.9999976e-05,None,None,None,None
895000,-0.55764514,1.7051637,5.545025,9.9999976e-05,None,None,None,None
900000,0.0931729,1.651976,5.5340185,9.999998e-05,-7.738375664664697,4981.0,-8.380441062495084,103.83806874529691
