Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length
50000,-0.08598971,-0.012550567,7.095357,0.0005,-6.464734356101569,4998.0
55000,0.0049222806,0.008311258,None,None,None,None
60000,-0.09277022,0.043251943,None,None,None,None
65000,-0.042623267,-0.10520237,7.102008,0.0005,None,None
70000,-0.096902885,-0.022517882,None,None,None,None
75000,-0.07494128,0.05680747,None,None,None,None
80000,-0.09667084,0.1341878,None,None,None,None
85000,-0.034354273,-0.02737396,7.101299,0.0005,None,None
90000,-0.10019132,-0.02790623,None,None,None,None
95000,-0.07360409,0.009598625,None,None,None,None
100000,-0.0769306,0.021040158,None,None,None,None
105000,0.00096771866,0.06401447,None,None,None,None
110000,-0.053574223,0.008269084,7.109453,0.0005,-5.7808739778975,4998.0
115000,-0.09395215,0.035203177,None,None,None,None
120000,-0.0879692,0.020364959,None,None,None,None
125000,-0.053847,0.042741287,7.10501,0.0005,None,None
130000,-0.06286544,0.03486736,None,None,None,None
135000,-0.07303185,0.055529375,None,None,None,None
140000,-0.03793984,0.06842697,None,None,None,None
145000,-0.022355355,0.04158261,-7.195823,0.0005,None,None
150000,0.42367777,1.7631981,None,None,None,None
155000,0.52692235,1.570868,None,None,None,None
160000,0.44188836,1.0437367,None,None,None,None
165000,0.5867042,1.1340961,None,None,None,None
170000,0.587764,0.60230315,-22.993198,0.0005,-3.8024691730640066,4998.0
175000,0.43569574,1.6807214,None,None,None,None
180000,0.5385506,0.9419247,None,None,None,None
185000,0.4323186,1.5277734,-12.237477,0.0005,None,None
190000,0.5328235,1.4836366,None,None,None,None
195000,0.4676908,1.0085953,None,None,None,None
200000,0.6019603,1.0672505,None,None,None,None
205000,0.51747686,1.0980203,-20.324598,0.0005,None,None
210000,0.44183302,1.4561414,None,None,None,None
215000,0.4800116,1.3060302,None,None,None,None
220000,0.49626687,1.5793107,None,None,None,None
225000,0.5518899,0.80542904,None,None,None,None
230000,0.56692713,0.88729835,-21.641174,0.0005,-2.9275655424498837,4998.0
235000,0.42779863,1.107246,None,None,None,None
240000,0.5145105,0.834602,None,None,None,None
245000,0.47933432,1.0129327,-11.265679,0.0005,None,None
250000,0.591747,1.2072923,None,None,None,None
255000,0.49702096,0.9715702,None,None,None,None
260000,0.5006919,1.1525471,None,None,None,None
265000,0.5593335,1.0692714,-17.126732,0.0005,None,None
270000,0.46075186,1.3020167,None,None,None,None
275000,0.5195094,1.3758215,None,None,None,None
280000,0.5814077,0.9407398,None,None,None,None
285000,0.47110128,1.2322505,None,None,None,None
290000,0.5193558,1.1142945,2.0324006,0.0005,-4.401419863607164,4998.0
295000,0.5324948,1.1264395,None,None,None,None
300000,0.53033227,0.8449937,None,None,None,None
305000,0.5758316,0.98737687,4.8204255,0.0005,None,None
310000,0.5490541,0.99313724,None,None,None,None
315000,0.60688376,0.72961855,None,None,None,None
320000,0.558045,0.46891242,None,None,None,None
325000,0.5456869,0.6213798,4.5739074,0.0005,None,None
330000,0.49550053,0.6923476,None,None,None,None
335000,0.53596824,1.35464,None,None,None,None
340000,0.5765778,0.7681589,None,None,None,None
345000,0.55890125,0.5913254,None,None,None,None
350000,0.54098845,0.45080695,5.583139,0.0005,-31.046845361516716,4998.0
355000,0.51280016,1.0360463,None,None,None,None
360000,0.56391835,0.68923247,None,None,None,None
365000,0.5268554,1.0288649,5.0196,0.0005,None,None
370000,0.5411805,1.1762664,None,None,None,None
375000,0.5870227,0.88644296,None,None,None,None
380000,0.5414567,0.32874507,None,None,None,None
385000,0.580672,0.5291452,4.97329,0.0005,None,None
390000,0.5353949,1.1024642,None,None,None,None
395000,0.54063314,1.0026245,None,None,None,None
400000,0.5552079,0.6073235,None,None,None,None
405000,0.5471878,0.36871597,None,None,None,None
410000,0.562929,0.4424106,4.718798,0.0005,-33.6771225691006,4998.0
415000,0.52351576,0.7977658,None,None,None,None
420000,0.5627614,0.49995357,None,None,None,None
425000,0.52510387,0.96515846,4.1230903,0.0005,None,None
430000,0.5564767,1.9014454,None,None,None,None
435000,0.5862054,0.7736249,None,None,None,None
440000,0.5694317,0.33597127,None,None,None,None
445000,0.56827617,0.50128835,4.7334642,0.0005,None,None
450000,0.4646885,1.7307289,None,None,None,None
455000,0.49238658,1.5428184,None,None,None,None
460000,0.50298584,1.3996477,None,None,None,None
465000,0.51388574,0.6727642,None,None,None,None
470000,0.52132434,0.6928838,3.454498,0.0005,-36.68720410998412,4998.0
475000,0.4756291,1.6971422,None,None,None,None
480000,0.51136327,0.97591335,None,None,None,None
485000,0.49578205,1.6838945,3.2609909,0.0005,None,None
490000,0.4923729,2.1868405,None,None,None,None
495000,0.49753055,1.8238674,None,None,None,None
500000,0.5041386,1.0978293,None,None,None,None
505000,0.49987268,0.9170082,3.1582794,0.0005,None,None
510000,0.49948364,1.8341795,None,None,None,None
515000,0.48373148,1.9844028,None,None,None,None
520000,0.51304543,1.5033212,None,None,None,None
525000,0.49907774,0.8613819,None,None,None,None
530000,0.50733674,0.91906446,3.4298563,0.0005,-42.40923240142396,4998.0
535000,0.47673663,1.6697483,None,None,None,None
540000,0.49584723,0.9801199,None,None,None,None
545000,0.47358993,1.4451948,3.268762,0.0005,None,None
550000,0.47379312,2.00807,None,None,None,None
555000,0.48616377,1.4934759,None,None,None,None
560000,0.4840393,0.7205525,None,None,None,None
565000,0.51522213,0.7744824,3.064288,0.0005,None,None
570000,0.48424932,1.5112034,None,None,None,None
575000,0.47946,1.8533287,None,None,None,None
580000,0.4828107,1.2024927,None,None,None,None
585000,0.5153734,0.8505235,None,None,None,None
590000,0.5005876,0.9263079,2.9351354,0.0005,-44.60054274390465,4998.0
595000,0.26881692,1.2116594,None,None,None,None
600000,0.32177633,0.5885972,None,None,None,None
605000,0.21680309,0.856952,3.0081913,0.0005,None,None
610000,0.06559302,1.3899467,None,None,None,None
615000,0.16827035,0.40571263,None,None,None,None
620000,0.20838732,0.3848681,None,None,None,None
625000,0.14858608,0.2152661,2.2268746,0.0005,None,None
630000,0.2041994,0.5494258,None,None,None,None
635000,0.18466794,1.2006571,None,None,None,None
640000,0.1816749,0.43617114,None,None,None,None
645000,0.23778902,0.28742868,None,None,None,None
650000,0.3065518,0.2981492,2.1762965,0.0005,-54.36977523310028,4998.0
655000,0.17972629,1.0001628,None,None,None,None
660000,0.30708957,0.4119647,None,None,None,None
665000,0.24658965,0.62261826,2.0173585,0.0005,None,None
670000,0.15216482,1.1763968,None,None,None,None
675000,0.253353,0.5434746,None,None,None,None
680000,0.24485767,0.43685445,None,None,None,None
685000,0.21901049,0.30373183,2.148719,0.0005,None,None
690000,0.143881,0.59037733,None,None,None,None
695000,0.20186543,0.95559406,None,None,None,None
700000,0.2318599,0.37692803,None,None,None,None
705000,0.26381767,0.35407174,None,None,None,None
710000,0.23802811,0.309251,1.9218909,0.0005,-43.53330388218061,4998.0
715000,0.12406143,1.0315892,None,None,None,None
720000,0.26888844,0.3116807,None,None,None,None
725000,0.24693649,0.70027184,2.0966256,0.0005,None,None
730000,0.14201735,1.4252378,None,None,None,None
735000,0.22647043,0.5435048,None,None,None,None
740000,0.24588056,0.23368189,None,None,None,None
745000,0.230161,0.31689438,1.8060617,0.0005,None,None
750000,-0.08639234,1.7196436,None,None,None,None
755000,-0.09031165,1.3312732,None,None,None,None
760000,-0.04740238,1.1849078,None,None,None,None
765000,-0.0066323867,0.7024498,None,None,None,None
770000,0.058175687,0.78045005,1.6573366,0.0005,-41.937613693430954,4998.0
775000,-0.09758971,1.3689483,None,None,None,None
780000,0.0011721958,0.7715694,None,None,None,None
785000,-0.017399663,1.1863632,1.6754081,0.0005,None,None
790000,-0.18275374,1.8769685,None,None,None,None
795000,-0.30733648,1.2558128,None,None,None,None
800000,0.049945567,0.5442438,None,None,None,None
