Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
90000,8.826551,6.4686275,0.00029999999,-1.976600905880332,618.0,-1.976600855588913,0.024398927,-9.090144,0.008686857,0.008888947,0.32304573
95000,9.353976,6.4631987,0.00029999999,-3.288433824433014,1242.0,-3.2884337212890387,None,None,None,None,None
100000,9.429214,6.456609,0.00029999999,-1.2558951482642442,873.5,-1.255895124282688,0.037947282,-9.519319,0.015289395,0.015394981,0.31305435
105000,9.882368,6.431392,0.0003,-3.9109486578963697,1486.0,-3.9109487533569336,0.026950523,-9.878281,0.010184891,0.010071786,0.30531606
110000,10.562741,6.4491105,0.00029999999,-3.4570877964918814,1614.0,-3.4570878023902574,0.03136161,-10.478678,0.012170846,0.01220103,0.29199478
115000,11.485157,6.4746013,0.00029999999,-5.055083695799112,1913.6666666666667,-5.05508370200793,0.06642133,-11.270663,0.028531035,0.028435439,0.2745864
120000,11.632724,6.4533796,0.00029999996,-5.2776222246466205,2043.5,-1.2121652625501156,0.043132536,-11.730042,0.01871069,0.018728156,0.26455098
125000,11.769775,6.445131,0.00029999999,-2.979870117176324,2245.4,-4.040404937850933,0.1047505,-11.830589,0.048104107,0.048101474,0.26198453
130000,11.876265,6.4621434,0.00029999999,-3.4059183637145907,1023.0,-3.405918352305889,0.118526526,-11.998222,0.05546921,0.055329524,0.2577396
135000,12.066724,6.4620214,0.00029999996,None,None,None,0.17775264,-12.152562,0.08293139,0.08277176,0.25389865
140000,12.283095,6.4824758,0.0003,-4.213140645374854,2430.0,-4.213140656550725,0.08324303,-12.310311,0.036956187,0.036777593,0.24974953
145000,12.522282,6.4796286,0.00029999996,-3.7869679262318336,1876.6666666666667,-3.7869679337988296,0.09227875,-12.501048,0.040493343,0.040520124,0.24510625
150000,12.807861,6.4244633,0.0003,-1.7420106858480722,2340.0,-1.7420107126235962,0.12815738,-12.712755,0.05890978,0.058812,0.24070439
155000,13.105633,6.4471955,0.00029999999,-2.933942154981196,737.3333333333334,-2.9339421689510345,0.13251084,-12.975506,0.056618992,0.05657568,0.2354175
160000,13.3187,6.4405074,0.00029999999,-3.7966259386157617,2555.5,-3.7966259345412254,0.12661178,-13.208363,0.05859545,0.05854589,0.23097515
165000,13.394782,6.441425,0.00029999999,-5.255131449736655,2766.0,-5.255131470784545,0.15229563,-13.434127,0.070661746,0.07050609,0.22661842
170000,13.613938,6.436704,0.00029999999,-3.3498299691127613,1086.75,-3.3498299345374107,0.1030118,-13.632311,0.04750188,0.047310278,0.22267495
175000,13.684363,6.4409437,0.00029999999,None,None,None,0.11636165,-13.799986,0.05475373,0.054697853,0.21867245
180000,13.896163,6.4423347,0.0003,-1.7940571232077975,683.3333333333334,-1.794057125846545,0.126002,-14.099799,0.058134437,0.05799895,0.21086371
185000,14.333307,6.4676437,0.00029999999,-2.1667935894802213,1337.0,-2.166793629527092,0.12590168,-14.476407,0.057893015,0.057745285,0.200558
190000,14.446678,6.4793367,0.00029999999,-3.0589594752527773,2073.0,-3.0589595111086965,0.12702352,-14.67219,0.054477636,0.05445582,0.19440822
195000,14.665316,6.4666076,0.00029999999,-4.90703482599929,3504.5,-4.90703478269279,0.049074914,-14.744271,0.02201494,0.0219318,0.19188796
200000,14.817986,6.4464774,0.00029999996,-3.06601874390617,811.5,-3.0660187900066376,0.12396447,-14.886283,0.05411371,0.054076806,0.1877376
205000,15.0377655,6.461432,0.00029999999,-10.133175656199455,4981.0,-10.133175753057003,0.13541439,-15.067378,0.0621319,0.062335867,0.18276149
210000,15.143753,6.454336,0.00029999999,None,None,None,0.09895389,-15.2093,0.045884293,0.045821104,0.17866749
215000,15.393114,6.4179606,0.00029999999,-6.80217459006235,4308.5,-6.802174582146108,0.06638699,-15.381781,0.030054087,0.030085513,0.17401601
220000,15.64648,6.4473786,0.0003,-3.8822859530337155,1692.5,-3.8822859823703766,0.10289067,-15.583293,0.048710044,0.04875169,0.16849692
225000,15.684455,6.4468455,0.0003,-6.561517025576904,2856.5,-6.561517022550106,0.06875963,-15.750591,0.031628225,0.031925492,0.16402808
230000,15.85703,6.4551044,0.00029999996,-10.673187645617872,4981.0,-10.67318770289421,0.08130264,-15.891057,0.038430564,0.03847536,0.16045266
235000,16.025574,6.4398746,0.00029999999,-3.485279865562916,2787.6666666666665,-2.830451108980924,0.16311614,-16.050304,0.07604479,0.076060735,0.15615672
240000,16.209616,6.4629436,0.00029999999,-3.7928863842971623,1473.0,-4.043399136513472,0.118896626,-16.183184,0.054749794,0.054596063,0.15267822
245000,16.354105,6.470401,0.00029999999,-2.9554300187155604,2535.0,-2.955429975874722,0.08873382,-16.319403,0.041426983,0.04131466,0.14939709
250000,16.48649,6.442447,0.00029999999,-4.004306715292235,2844.3333333333335,-4.004306816185514,0.080483794,-16.455267,0.03715275,0.036960322,0.14559059
255000,16.531544,6.466103,0.00029999999,-2.6202111574821174,771.0,-2.620211124420166,0.048672017,-16.558325,0.02247454,0.022393722,0.1427767
260000,16.621822,6.459534,0.0003,-2.4962245086207986,1932.5,-2.496224543079734,0.1391981,-16.630447,0.06492325,0.064668,0.14052448
265000,16.802635,6.4619193,0.00029999996,-3.722429580753669,1895.0,-3.7224295288324356,0.04303096,-16.724867,0.018789345,0.018690744,0.1379981
270000,16.74255,6.4624395,0.00029999999,-5.805794563435484,2824.0,-6.976167971889178,0.105816156,-16.851915,0.048172016,0.047956992,0.13404566
275000,16.917507,6.458994,0.0003,-3.0988003981183283,2215.25,-2.9379751412197948,0.1653223,-17.020973,0.07683284,0.076861344,0.12779294
280000,17.167992,6.4573584,0.00029999999,-1.784508538141381,656.0,-1.7845085440203547,0.25738677,-17.144558,0.11958747,0.119634084,0.12268841
285000,17.138012,6.461744,0.00029999999,-2.9349521099356934,1276.0,-2.934952089563012,0.19231623,-17.21266,0.08970499,0.08956635,0.119476564
290000,17.277327,6.459702,0.00029999999,-5.933178183622658,2200.0,-5.933178170273702,0.13256489,-17.314535,0.062832244,0.06267209,0.1152578
295000,17.388584,6.4317136,0.00029999996,-1.2835756060667336,602.0,-1.2835756540298462,0.22304757,-17.392061,0.1058552,0.105650425,0.11209704
300000,17.467197,6.457796,0.0003,-4.267613538230459,2338.6666666666665,-4.267613546767582,0.12800299,-17.458876,0.060547303,0.06045088,0.10978802
305000,17.265844,6.4543633,0.00029999999,-2.891710009716917,1747.8,-3.0765673915545144,0.34950617,-17.480827,0.17047781,0.17081052,0.10790707
310000,17.550827,6.441195,0.00029999999,-1.3266825593309477,320.5,-1.2937861879666646,0.19679183,-17.505424,0.09308374,0.09311125,0.10625701
315000,17.5268,6.462488,0.00029999999,-2.607231993926689,1098.0,-2.607231993228197,0.34723493,-17.532274,0.16298333,0.16287853,0.10386219
320000,17.581179,6.4398413,0.00029999999,-2.3266861577673503,739.3333333333334,-2.3266861674686274,0.23391552,-17.567844,0.10217621,0.10257916,0.10219355
325000,17.687727,6.478456,0.00029999996,-1.9788433075882494,1141.5,-1.9844794577608507,0.2490547,-17.61919,0.11886085,0.11880356,0.10008933
330000,17.548855,6.4816914,0.00029999999,-2.0459076160720238,1348.3333333333333,-2.0249143827240914,0.29633507,-17.685003,0.13938959,0.13909489,0.09749625
335000,17.642687,6.481038,0.00029999999,-4.379473017140602,1891.6666666666667,-4.916467696428299,0.35482645,-17.705946,0.16987583,0.16950874,0.09590031
340000,17.714218,6.4144387,0.0003,-1.7866292304825038,848.6666666666666,-2.1663428097963333,0.19379736,-17.752808,0.08953747,0.08932306,0.09434673
345000,17.709547,6.4089785,0.00029999999,-3.6156076308495053,1889.6666666666667,-3.6156075863788524,0.20077837,-17.786913,0.09756772,0.097453654,0.09213833
350000,17.764797,6.4617825,0.00029999999,-4.8721935412613675,2330.0,-4.872193485498428,0.1596597,-17.817335,0.07620249,0.076100245,0.090155594
355000,17.834475,6.4458675,0.00029999996,-1.710265272917847,713.0,-1.7102652465303738,0.13586222,-17.833124,0.06490101,0.06471839,0.088480614
360000,17.58531,6.4205284,0.00029999999,-3.29739669454284,1082.1666666666667,-3.29739668716987,0.29187685,-17.828112,0.13760708,0.13741095,0.08669605
365000,17.889149,6.4399047,0.00029999996,-2.7002946928841993,892.0,-2.7002946957945824,0.2739133,-17.859741,0.1312514,0.13090315,0.08465734
370000,17.940294,6.4696927,0.00029999999,-2.7815037946449594,1252.6,-2.781503790616989,0.40741572,-17.900173,0.19530661,0.19515696,0.082087725
375000,18.075176,6.498436,0.00029999999,-2.244230034062639,1478.5,-2.244230067357421,0.3144904,-17.947748,0.1491716,0.14947885,0.08018756
380000,18.132244,6.430243,0.00029999996,-3.4081712414626963,1507.25,-4.14186130464077,0.13213867,-18.014296,0.06171441,0.0616336,0.07921919
385000,18.034817,6.4488983,0.0003,-2.9086764282546937,1267.5,-2.3414846460024514,0.2938049,-18.052717,0.14170954,0.1415492,0.076747514
390000,17.963882,6.4085326,0.00029999999,-1.0508611261611804,269.5,-1.0508611453697085,0.26282337,-18.10793,0.12649053,0.12641138,0.073304005
395000,18.00155,6.3920784,0.00029999999,-2.364639323670417,1628.5,-2.364639268256724,0.10771305,-18.099277,0.05150292,0.051236756,0.07149815
400000,17.773329,6.4533615,0.0003,-3.5553472728352062,1402.25,-3.5553472847677767,0.1546659,-18.094517,0.07350216,0.07355496,0.070216104
405000,18.043108,6.4210887,0.00029999999,-3.063382552936673,1341.0,-3.0633825063705444,0.19635311,-18.076376,0.09374235,0.09370229,0.068347566
410000,17.990564,6.4267344,0.00029999999,-2.6899796064244583,2085.1666666666665,-2.6899795488764844,0.19284354,-18.07136,0.092164405,0.09201589,0.066520855
415000,18.139572,6.452685,0.00029999999,-4.334597460576333,2456.5,-4.334597433917224,0.24263427,-18.079805,0.11473889,0.11444803,0.06423924
420000,18.020168,6.4458036,0.0003,-2.38505119032925,2103.0,-2.3850511964410543,0.19850878,-18.099115,0.09659209,0.09641875,0.06198493
425000,18.062527,6.419393,0.00029999999,-2.7567546009959187,1229.125,-2.7567545720376074,0.19234292,-18.11373,0.09078762,0.090747595,0.060432345
430000,18.15307,6.4643755,0.00029999999,-2.8672311429788047,1298.0,-2.8672311807361743,0.34939322,-18.10196,0.16805536,0.16801965,0.05850216
435000,17.96971,6.4184103,0.00029999999,-1.5295942990109324,388.0,-1.6131592728197575,0.39360204,-18.088108,0.1887161,0.18882257,0.056548912
440000,18.00833,6.4128733,0.00029999996,-2.3819934711791575,609.3333333333334,-2.085328720510006,0.36624786,-18.062733,0.17275618,0.17300946,0.055234227
445000,18.004513,6.407365,0.00029999999,-2.558592101139948,1127.2,-2.7231103111472397,0.2550457,-18.062588,0.11041335,0.11060544,0.054313906
450000,17.980595,6.4356027,0.00029999999,-1.6289966924814507,335.0,-1.445307155450185,0.40825087,-18.024487,0.20183413,0.2009269,0.053459737
455000,17.825972,6.4772053,0.00029999999,-1.6854440216751148,517.5,-1.6854440172513325,0.4109431,-17.971727,0.1988108,0.1985645,0.05189912
460000,17.903221,6.4377685,0.00029999999,-3.9613503576256335,1668.0,-3.961350291967392,0.4106104,-17.91356,0.19822468,0.19783717,0.04996365
465000,17.844994,6.4355273,0.00029999999,-3.0578277831955347,1745.25,-3.0578278191387653,0.3821699,-17.899439,0.17722505,0.17694058,0.048332524
470000,17.94648,6.4606853,0.00029999999,-2.306925820755876,1114.2222222222222,-2.3069257982489138,0.2794279,-17.876001,0.13490056,0.13510068,0.04706711
475000,17.749733,6.440786,0.00029999999,-2.152947329605619,782.6666666666666,-2.1529473178088665,0.39868736,-17.86166,0.18351711,0.18375841,0.046027638
480000,17.74272,6.348298,0.00029999999,-1.853965074318694,630.9375,-1.8539650657912716,0.3737514,-17.861874,0.18365982,0.18378586,0.044799197
485000,17.72305,6.5641084,0.00029999999,-1.2908733772579581,315.1333333333333,-1.290873361378908,0.6618148,-17.824518,0.3184319,0.3184234,0.043807596
490000,17.654325,6.4349375,0.00029999999,-1.42722118665309,400.8333333333333,-1.4272211973244946,0.8305871,-17.729134,0.40041012,0.39911726,0.041935056
495000,17.618338,6.390546,0.00029999999,-2.368227817118168,937.5,-2.3682277714833617,0.7570348,-17.657438,0.3656574,0.3648539,0.040134482
500000,17.45157,6.3386564,0.0003,-2.3286617822013795,1115.0,-2.328661782667041,0.5748437,-17.60715,0.27931425,0.27882564,0.039187558
505000,17.4419,6.3795075,0.00029999999,-2.56799168830427,957.6666666666666,-2.5679917074739933,0.4806626,-17.53331,0.23465215,0.23422557,0.03772952
510000,17.615547,6.337713,0.00029999999,-1.867307759322492,848.1428571428571,-1.9729068082136412,0.2558276,-17.522034,0.1213721,0.12159316,0.03648655
515000,17.588446,6.3670015,0.00029999996,-2.494750521320384,752.875,-2.35463528169526,0.21895437,-17.499578,0.10701894,0.106978625,0.03572227
520000,17.497498,6.2839313,0.0003,-1.6467666260742893,433.1333333333333,-1.6314982058746474,0.38485518,-17.463217,0.18910316,0.1891544,0.035113785
525000,17.422207,6.324293,0.00029999999,-1.6696040960572038,504.4166666666667,-1.6842902615093267,0.5848308,-17.451063,0.28708988,0.28679267,0.03442363
530000,17.279696,6.2188735,0.00029999999,-1.5170927221456973,432.15384615384613,-1.4929382412228733,0.874427,-17.358074,0.42627326,0.4259154,0.033204757
535000,17.122517,6.0194364,0.00029999999,-1.3032424492485006,233.59375,-1.320603276253678,2.2758434,-17.208706,1.1324321,1.1296582,0.032271788
540000,16.919113,6.3160334,0.00029999999,-1.3744879182428122,343.4,-1.3539731924732525,1.3104508,-17.167793,0.6350071,0.6340751,0.031671863
545000,17.195097,6.304562,0.00029999996,-1.4434954773751087,553.375,-1.443495470797643,1.0710399,-17.099274,0.5152491,0.51504344,0.03087924
550000,17.237516,6.1448936,0.00029999999,-1.6069141342483748,458.6923076923077,-1.655731341180702,0.8713066,-17.102436,0.42695534,0.4261784,0.030408457
555000,17.125744,6.218557,0.00029999999,-1.689532639303555,467.6,-1.6543279024461905,0.73370945,-17.086588,0.3618636,0.361267,0.030016212
