Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
20065000,0.65737206,-0.00023943774,1.040656,5.9260277e-05,21.818707312672284,4981.0,21.818707089444313,0.0
20070000,0.64104456,-8.298715e-05,1.040656,5.9198097e-05,None,None,None,None
20075000,0.6519427,-0.00016386509,1.040656,5.9124377e-05,None,None,None,None
20080000,0.6273489,-5.2637904e-05,1.040656,5.906908e-05,None,None,None,None
20085000,0.65387493,1.1496709e-05,1.0407801,5.9013775e-05,None,None,None,None
20090000,0.62992656,-0.0003283657,1.0409042,5.8940055e-05,None,None,None,None
20095000,0.6065923,-0.00014664319,1.0409042,5.8884776e-05,None,None,None,None
20100000,0.61506385,-0.00014109533,1.0409042,5.8829457e-05,None,None,None,None
20105000,0.59623367,4.90702e-05,1.0409042,5.8774152e-05,None,None,None,None
20110000,0.62638736,-0.00015180114,1.0409042,5.871887e-05,None,None,None,None
20115000,0.6098233,-0.00012750781,1.0408467,5.8645135e-05,None,None,None,None
20120000,0.61660403,-8.790899e-05,1.0408467,5.858985e-05,None,None,None,None
20125000,0.5969946,-0.00016611368,1.0408468,5.8540125e-05,20.5489509309283,4981.0,20.548950885073282,0.0
20130000,0.5890802,-0.0003125096,1.0408467,5.8477955e-05,None,None,None,None
20135000,0.6300989,0.00013945537,1.0408467,5.840423e-05,None,None,None,None
20140000,0.60751635,-0.00016705591,1.0409282,5.834893e-05,None,None,None,None
20145000,0.6047447,-0.00022477205,1.0409282,5.829364e-05,None,None,None,None
20150000,0.55633503,-6.7607485e-05,1.0409282,5.821991e-05,None,None,None,None
20155000,0.6126143,-0.00040631977,1.0409282,5.81646e-05,None,None,None,None
20160000,0.61874753,-0.0002828963,1.0409282,5.810932e-05,None,None,None,None
20165000,0.58254826,-0.00033851995,1.0409282,5.8054007e-05,None,None,None,None
20170000,0.5464065,-0.0002525363,1.0405711,5.7998725e-05,None,None,None,None
20175000,0.557227,-0.00010584314,1.0405711,5.7924997e-05,None,None,None,None
20180000,0.5369523,-0.00013526493,1.0405711,5.786971e-05,None,None,None,None
20185000,0.5379941,-0.00011030391,1.040571,5.7819998e-05,19.68795387152998,4981.0,19.687953878970195,0.0
20190000,0.56493175,-0.00027316337,1.0405711,5.775781e-05,None,None,None,None
20195000,0.5350264,-0.0001267108,1.041526,5.768408e-05,None,None,None,None
20200000,0.52517545,-0.00033431133,1.041526,5.762879e-05,None,None,None,None
20205000,0.53430027,-0.00050749263,1.041526,5.7573503e-05,None,None,None,None
20210000,0.5149955,-0.000109127795,1.041526,5.749976e-05,None,None,None,None
20215000,0.53440905,-0.0003105636,1.041526,5.7444457e-05,None,None,None,None
20220000,0.5226817,-0.0002459206,1.0417587,5.7389174e-05,None,None,None,None
20225000,0.4962197,0.00015803476,1.0419914,5.7333862e-05,None,None,None,None
20230000,0.5172691,0.0002714331,1.0419914,5.7278583e-05,None,None,None,None
20235000,0.51678497,0.00019337017,1.0419914,5.7204845e-05,None,None,None,None
20240000,0.502427,1.1066949e-05,1.0419914,5.714956e-05,None,None,None,None
20245000,0.47179824,0.0003450733,1.0419914,5.7099845e-05,17.604894084627897,4981.0,17.604894420335768,0.0
20250000,0.5204565,0.00024211784,1.0419835,5.7037665e-05,None,None,None,None
