Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189384,0.00029972184,0.014873064,-1.8202333522494882,471.875,-1.8202333468943834
20000,1.4188783,0.00029910292,-0.012022588,-1.9729053023183951,647.5625,-1.9729053089395165
30000,1.4189447,0.0002985122,-0.06885626,-1.830763301372321,588.6111111111111,-1.8307438080801683
40000,1.4186479,0.00029790064,-0.15842684,-1.8252474926902276,529.0,-1.8209252631977986
50000,1.4181465,0.00029731265,-0.1691173,-1.6773079437203706,519.1,-1.6885417245683216
60000,1.4179707,0.00029671387,-0.15719031,-1.5508438888549183,399.4583333333333,-1.550843883305788
70000,1.4179949,0.00029609815,-0.16017078,-1.5070623632830877,378.55555555555554,-1.507062374441712
80000,1.417773,0.00029549917,-0.19787215,-1.357528513935567,386.1111111111111,-1.3575285066057134
90000,1.4173609,0.00029490227,-0.24191612,-1.5686251124134287,410.5,-1.5686250974734623
100000,1.4169247,0.00029430425,-0.24750413,-1.511647649028379,402.95652173913044,-1.506430640139363
110000,1.4162303,0.00029370098,-0.32132447,-1.5815479703402768,430.7916666666667,-1.5833429437875748
120000,1.415428,0.00029309618,-0.3318189,-1.6391634723252577,442.1304347826087,-1.646101951599121
130000,1.415078,0.00029251186,-0.25953856,-1.5880449733342088,463.5238095238095,-1.5774807788076854
140000,1.4151208,0.00029192166,-0.31605738,-1.7132206606727682,477.63157894736844,-1.712977870553732
150000,1.4150562,0.00029130714,-0.34320658,-1.7418671167992137,490.7391304347826,-1.70548305389556
160000,1.4149289,0.000290699,-0.27441537,-1.7298225626688113,442.5,-1.765148399964623
170000,1.4148102,0.00029009482,-0.24065551,-1.5833420239505358,379.4583333333333,-1.5833420275400083
180000,1.4145985,0.00028949275,-0.3618566,-1.7788819488645955,472.3181818181818,-1.799058926247415
190000,1.4143304,0.00028889003,-0.34130296,-1.7152087658785447,435.4782608695652,-1.7207647017810657
200000,1.4139453,0.0002882921,-0.28599212,-1.6109775787155176,353.2413793103448,-1.5860348724085709
210000,1.4136077,0.00028770362,-0.3213863,-1.7173055986770325,399.44444444444446,-1.7295904457569122
