Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
80000,-0.053618044,1.418659,0.00029538572,-29.449839135602815,4961.0,-31.308159647243365
85000,-0.06953326,1.4188083,0.00029507617,None,None,-16.441595314070582
90000,-0.11322413,1.419108,0.00029476898,None,None,None
95000,-0.11077831,1.4191083,0.0002944618,None,None,None
100000,-0.10345987,1.419108,0.00029415457,None,None,None
105000,-0.10543188,1.4191083,0.00029384738,None,None,None
110000,-0.096546866,1.419108,0.0002935402,None,None,None
115000,-0.08334391,1.4191083,0.00029323297,None,None,None
120000,-0.08207754,1.419108,0.00029292575,None,None,None
125000,-0.07424132,1.419108,0.00029268002,None,None,None
130000,-0.11138635,1.4185776,0.00029237283,None,None,None
135000,-0.12171353,1.4183122,0.0002920656,None,None,None
140000,-0.12154635,1.4183122,0.00029175842,None,None,None
145000,-0.124755576,1.4183122,0.00029145123,None,None,None
150000,-0.119201,1.4183122,0.000291144,None,None,None
155000,-0.12341151,1.4183122,0.0002908368,None,None,None
160000,-0.11222112,1.4183122,0.00029058428,-28.99902080273023,4959.0625,-29.068242889642715
165000,-0.14675757,1.4183122,0.00029027523,None,None,-27.960689179599285
170000,-0.15622011,1.4179138,0.00028996798,None,None,None
175000,-0.19286352,1.4175156,0.0002896608,None,None,None
180000,-0.18529068,1.4175154,0.00028935366,None,None,None
185000,-0.17901081,1.4175156,0.0002890464,None,None,None
190000,-0.17600992,1.4175154,0.00028873922,None,None,None
195000,-0.16698533,1.4175156,0.00028843203,None,None,None
200000,-0.16767539,1.4175154,0.00028812484,None,None,None
205000,-0.17234778,1.4175154,0.00028787903,None,None,None
210000,-0.17513339,1.4175091,0.00028757183,None,None,None
215000,-0.21825576,1.4174384,0.00028726464,None,None,None
220000,-0.20595966,1.4174384,0.00028695745,None,None,None
225000,-0.21102145,1.4174384,0.00028665026,None,None,None
230000,-0.19870158,1.4174384,0.00028634304,None,None,None
235000,-0.19775854,1.4174384,0.00028603588,None,None,None
240000,-0.1979809,1.4174384,0.0002857838,-28.986744953057496,4961.0,-28.1403341902686
245000,-0.2607271,1.4174383,0.00028547426,None,None,-34.91162025183439
250000,-0.2718367,1.4174384,0.00028516704,None,None,None
255000,-0.30630264,1.4181527,0.00028485985,None,None,None
260000,-0.31524372,1.4181525,0.0002845527,None,None,None
265000,-0.30303133,1.4181527,0.00028424544,None,None,None
270000,-0.28769103,1.4181525,0.00028393825,None,None,None
275000,-0.2890771,1.4181527,0.00028363106,None,None,None
280000,-0.2686484,1.4181525,0.00028332387,None,None,None
285000,-0.2666002,1.4181525,0.0002830781,None,None,None
