Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
35000,0.9170294,6.5564685,0.00029800236,-13.363912087244293,2821.3333333333335,-10.984556257724762,0.03403639,-2.711913,0.00024396053,0.0002562245,0.47562677
40000,4.1734123,6.443185,0.0002978345,-25.412398509681225,3776.0,-21.76751136779785,0.008834118,-4.600237,0.0010035804,0.0010030264,0.43150568
45000,5.486901,None,None,None,None,None,None,None,None,None,None
50000,5.444785,None,None,None,None,None,None,None,None,None,None
55000,5.48995,None,None,None,None,None,None,None,None,None,None
60000,5.4671516,None,None,None,None,None,None,None,None,None,None
65000,5.540659,6.445234,0.00029624693,None,None,None,None,None,None,None,None
70000,5.496741,6.4460745,0.00029607333,-24.419517088856082,4998.0,-25.11465048789978,None,None,None,None,None
75000,5.420434,None,None,None,None,-26.804734379053116,None,None,None,None,None
80000,5.4750957,6.4452696,0.00029538648,None,None,-16.718642711639404,None,None,None,None,None
85000,5.389677,6.448162,0.00029511342,-18.961167715489864,2527.0,-18.96116828918457,None,None,None,None,None
90000,5.475524,6.4427,0.00029489602,-28.24898316524923,4363.0,-28.248984336853027,None,None,None,None,None
95000,5.433996,None,None,None,None,None,None,None,None,None,None
100000,5.5125847,None,None,None,None,None,None,None,None,None,None
105000,5.4465084,None,None,None,None,None,None,None,None,None,None
110000,5.393936,6.426828,0.00029340922,-24.011887891218066,4998.0,None,0.008624258,-6.1053686,0.0012097779,0.001250257,0.3975398
