Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
5000,7.090376,0.00029999996,-4.912227534223348,1939.0,0.09041701,-4.912227630615234
10000,None,None,None,None,0.053138025,None
15000,None,None,None,None,0.037232712,None
20000,None,None,None,None,0.027545687,None
25000,7.089519,0.00029999999,-30.67698634788394,3119.0,0.07115347,None
30000,7.0890317,0.00029999999,None,None,0.063323684,-30.67698383331299
35000,None,None,None,None,0.036734343,None
40000,None,None,None,None,0.036980297,None
45000,None,None,None,None,0.0418571,None
50000,7.090233,0.0003,-28.38750996827148,4998.0,0.05122815,-41.81856417655945
55000,None,None,None,None,0.05343651,-18.36302261352539
60000,7.0902596,0.0003,None,None,0.040355638,-36.14095401763916
65000,7.089385,0.00029999999,-28.851107565686107,4998.0,0.043507528,-28.851107597351074
70000,None,None,None,None,0.045694664,None
75000,None,None,None,None,0.05175359,None
80000,None,None,None,None,0.032914583,None
85000,7.0873656,0.00029999999,-26.60252955928445,4998.0,0.03446094,None
90000,7.028672,0.00029999996,-28.713849825784564,3712.5,0.03816899,-28.01007620493571
95000,6.4300094,0.00029999999,None,None,2.1765256,None
100000,None,None,None,None,2.2078667,None
105000,None,None,None,None,2.1864882,None
110000,6.4293833,0.0003,-39.696940311799864,4552.0,2.226368,-23.26970863342285
115000,None,None,None,None,2.202631,-42.72197594245275
120000,6.4201617,0.0003,-10.037572845816612,1389.0,2.2295113,-32.21938228607178
125000,6.426584,0.00029999999,None,None,2.143182,None
130000,6.454169,0.00030000007,-54.70970317348838,4998.0,2.319803,-54.70970439910889
135000,None,None,None,None,2.336798,None
140000,None,None,None,None,2.3214755,None
145000,6.458704,0.0003,None,None,2.3590772,None
150000,6.4512873,0.00029999999,-28.12770366296172,4218.0,2.3370962,-28.12770414352417
155000,6.4467196,0.00030000007,None,None,2.331179,None
160000,None,None,None,None,2.3744981,None
165000,None,None,None,None,2.2562861,None
170000,6.4287615,0.0003,-33.008524655571414,4464.777777777777,2.6663148,-34.02774667739868
175000,6.4211826,0.00029999999,None,None,2.8465426,-32.49891344706217
180000,6.418594,0.0003,None,None,2.8469014,None
185000,6.417957,0.00029999996,None,None,3.4574277,None
190000,6.4084196,0.00029999999,-27.7352183368057,4998.0,3.9695206,-27.735218048095703
195000,None,None,None,None,3.9926174,None
