Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
25000,3.0895317,0.039511885,-2.5931954,0.00057012856,0.0007154891,0.48133874,6.4359064,0.00029999999,-10.938081305474043,1579.0,-10.938081502914429
30000,3.5115373,None,None,None,None,None,6.396578,0.00029999999,None,None,None
35000,3.525402,None,None,None,None,None,6.401588,0.00029999999,None,None,None
40000,3.4868274,None,None,None,None,None,6.4115343,0.00029999999,None,None,None
45000,4.4691253,0.009103978,-4.28163,0.0005964728,0.0005831456,0.44574165,6.4321623,0.00029999996,None,None,None
50000,4.948477,None,None,None,None,None,6.410262,0.00029999999,None,None,None
55000,4.9289613,None,None,None,None,None,6.4057693,0.00029999999,None,None,None
60000,5.0175166,None,None,None,None,None,6.403784,0.00029999999,None,None,None
65000,5.796243,0.008251766,-5.6166315,0.0006116315,0.00063753885,0.41585937,6.429716,0.00029999999,None,None,None
70000,6.3810115,0.00824227,-6.3372636,0.0006550382,0.00064017193,0.40013272,6.4286394,0.00029999999,None,None,None
75000,6.4203005,None,None,None,None,None,6.426156,0.00029999999,None,None,None
80000,6.4177375,None,None,None,None,None,6.4338703,0.00029999996,-35.83248895326008,4981.0,-35.83248905539513
85000,6.8453746,0.0073389057,-7.0616326,0.00058270997,0.00055417296,0.38226745,6.4601316,0.00029999999,None,None,None
90000,7.606551,None,None,None,None,None,6.5231433,0.00029999999,None,None,None
95000,7.625769,None,None,None,None,None,6.5162277,0.00029999999,None,None,None
100000,7.6693106,None,None,None,None,None,6.515603,0.00029999999,None,None,None
105000,8.10944,0.0063268035,-8.021948,0.0005226031,0.0005213429,0.3603164,6.444399,0.00029999999,-20.660745322704315,4981.0,-20.660745054483414
110000,8.371381,None,None,None,None,None,6.385571,0.00029999999,None,None,None
115000,8.342246,None,None,None,None,None,6.386378,0.00029999999,None,None,None
120000,8.873996,0.0064437957,-8.8873205,0.0006268343,0.0006314683,0.34227753,6.4306,0.00029999999,None,None,None
125000,9.50816,0.006751586,-9.458367,0.00080301194,0.00060628983,0.32933116,6.463341,0.00029999996,None,None,None
130000,9.589668,None,None,None,None,None,6.463843,0.00029999999,None,None,None
135000,9.62106,None,None,None,None,None,6.448431,0.00029999999,None,None,None
140000,10.128935,0.0073468084,-10.086879,0.0009348623,0.00093467825,0.3169689,6.451556,0.00029999999,None,None,None
145000,10.688838,0.0054314863,-10.6819935,0.00067066506,0.00066319923,0.30498073,6.4251823,0.00029999999,None,None,None
150000,10.74787,None,None,None,None,None,6.414924,0.00029999999,-5.679974391357973,4483.0,-5.679974438622594
155000,10.646654,None,None,None,None,None,6.4166493,0.00029999999,-15.873598733916879,4668.0,-15.873598575592041
160000,10.889019,0.04390019,-10.87035,0.013534767,0.013964085,0.2990043,6.433432,0.00029999996,-27.17980836546765,4975.0,-27.179808563337875
165000,11.125613,0.05028021,-11.176896,0.018834239,0.01886523,0.2927881,6.454442,0.00029999999,None,None,None
170000,11.233609,0.014801959,-11.38089,0.0025826152,0.0023091664,0.28938174,6.413842,0.00029999999,None,None,None
175000,11.345255,0.008587727,-11.462605,0.001532072,0.0015186247,0.28812623,6.423872,0.00029999999,None,None,None
180000,11.875223,0.0061385334,-11.755784,0.0009881868,0.0011128674,0.28106883,6.442706,0.00029999999,None,None,None
185000,12.083125,0.004856368,-12.051945,0.00069118495,0.00074384996,0.27400854,6.4805403,0.00029999999,-24.084130998700857,3374.0,-24.08413076400757
190000,11.992586,0.005648402,-12.091267,0.00091886846,0.0011124755,0.27302396,6.449067,0.00029999996,None,None,None
195000,12.1474,0.005418264,-12.2294035,0.0009900467,0.0011420718,0.26944923,6.4284406,0.00029999999,None,None,None
200000,12.398359,0.0058215256,-12.3355875,0.0012038937,0.0011804241,0.26631066,6.422778,0.00029999999,None,None,None
205000,12.753414,0.0057595302,-12.71968,0.0010463283,0.0011253889,0.2597096,6.3981724,0.00029999999,None,None,None
210000,12.891397,0.0054320563,-12.952216,0.00075817015,0.00075862714,0.25284058,6.37868,0.00029999996,None,None,None
215000,12.956029,0.0047242185,-13.082537,0.00074567634,0.000801898,0.24952863,6.391844,0.00029999999,None,None,None
220000,13.200275,0.003759007,-13.210722,0.0006754885,0.0007018952,0.24662003,6.3932056,0.00029999999,None,None,None
225000,13.580012,0.0052348264,-13.410751,0.0009505815,0.0009619677,0.24187285,6.422776,0.00029999996,None,None,None
230000,13.785749,0.024688274,-13.87106,0.008178642,0.008244139,0.23261957,6.4485745,0.00029999999,-34.677508347667754,3964.0,-34.6775084733963
235000,14.040194,0.0053098826,-14.120342,0.0011723684,0.0011511641,0.22634134,6.4076014,0.00029999996,None,None,None
240000,14.199258,0.037033617,-14.44843,0.013788002,0.013745097,0.2171727,6.4113975,0.00029999996,-36.617676846038265,4981.0,-36.617676904568306
245000,14.719057,0.008670145,-14.751718,0.0019166003,0.0025523223,0.20948583,6.412836,0.00029999999,None,None,None
